,BAYVIEW,CENTRAL,INGLESIDE,MISSION,NORTHERN,PARK,RICHMOND,SOUTHERN,TARAVAL,TENDERLOIN,ALL
2003-07-31,428,163,176,1053,406,183,70,1074,121,1261,4935
2004-01-31,457,168,185,1014,356,211,84,941,112,1421,4949
2004-07-31,627,167,179,1032,419,148,71,827,91,1363,4924
2005-01-31,455,143,166,833,428,182,80,821,144,1589,4841
2005-07-31,378,98,153,856,340,170,44,601,122,1414,4176
2006-01-31,416,75,168,752,407,186,45,594,104,1544,4291
2006-07-31,417,105,204,972,415,192,74,605,95,1265,4344
2007-01-31,405,139,183,956,551,218,96,710,111,1546,4915
2007-07-31,374,124,240,737,493,292,96,944,102,1717,5119
2008-01-31,410,176,211,825,392,276,72,852,129,2138,5481
2008-07-31,355,189,193,809,391,258,70,952,179,2371,5767
2009-01-31,240,217,211,866,318,245,76,994,193,2572,5932
2009-07-31,297,191,226,709,415,308,92,1020,210,2426,5894
2010-01-31,422,193,208,783,379,343,107,1027,201,2227,5890
2010-07-31,357,148,315,711,435,200,115,889,105,1537,4812
2011-01-31,308,125,248,636,320,237,94,839,131,1313,4251
2011-07-31,331,80,193,465,303,195,69,670,133,1208,3647
2012-01-31,323,104,131,472,271,151,77,508,119,1006,3162
2012-07-31,358,123,154,422,274,240,90,495,101,1020,3277
2013-01-31,331,94,168,427,301,191,97,463,142,946,3160
2013-07-31,306,95,183,557,368,189,89,740,104,915,3546
2014-01-31,272,158,163,491,330,203,79,568,90,830,3184
2014-07-31,240,190,160,424,340,218,101,533,67,693,2966
2015-01-31,213,144,151,371,281,132,59,359,80,496,2286
2015-07-31,202,112,99,304,223,75,27,300,55,521,1918
