,BAYVIEW,CENTRAL,INGLESIDE,MISSION,NORTHERN,PARK,RICHMOND,SOUTHERN,TARAVAL,TENDERLOIN,ALL
2004-01-31,202,113,179,165,136,46,63,120,156,82,1262
2005-01-31,215,104,228,200,135,42,49,131,174,59,1337
2006-01-31,163,86,119,138,112,52,45,103,126,62,1006
2007-01-31,255,110,179,187,144,86,79,146,142,77,1405
2008-01-31,254,109,198,206,156,65,68,193,138,116,1503
2009-01-31,244,119,234,195,176,76,83,163,162,126,1578
2010-01-31,308,138,228,234,200,87,92,212,140,145,1784
2011-01-31,303,132,219,266,186,75,114,258,146,182,1881
2012-01-31,350,131,204,241,169,69,88,232,156,161,1801
2013-01-31,300,127,251,281,179,83,96,232,201,119,1869
2014-01-31,348,114,273,321,180,94,81,242,186,141,1980
2015-01-31,319,133,231,257,169,77,129,256,211,144,1926
