,BAYVIEW,CENTRAL,INGLESIDE,MISSION,NORTHERN,PARK,RICHMOND,SOUTHERN,TARAVAL,TENDERLOIN,ALL
2003-02-28,141,257,140,230,359,113,113,470,149,125,2097
2003-03-31,179,305,148,294,391,142,113,529,195,131,2427
2003-04-30,160,301,146,268,393,113,129,546,166,132,2354
2003-05-31,142,298,116,203,409,118,113,495,148,115,2157
2003-06-30,181,324,98,203,447,115,126,503,138,130,2265
2003-07-31,139,305,120,194,465,106,137,572,120,119,2277
2003-08-31,173,362,103,200,405,151,135,491,127,111,2258
2003-09-30,135,285,140,249,319,126,142,495,162,124,2177
2003-10-31,128,285,152,255,354,168,142,434,189,115,2222
2003-11-30,115,256,132,242,358,150,115,452,163,120,2103
2003-12-31,94,258,105,197,318,122,114,413,183,131,1935
2004-01-31,112,264,149,253,379,123,103,439,179,119,2120
2004-02-29,109,263,131,218,281,99,106,403,207,118,1935
2004-03-31,111,244,111,212,345,110,97,488,150,103,1971
2004-04-30,142,248,122,218,332,126,154,488,129,102,2061
2004-05-31,117,262,132,246,340,95,132,480,161,136,2101
2004-06-30,110,315,99,250,414,118,100,534,158,135,2233
2004-07-31,103,307,105,246,437,113,134,607,126,150,2328
2004-08-31,133,260,109,221,379,134,132,554,124,119,2165
2004-09-30,108,246,112,211,367,90,89,567,150,109,2049
2004-10-31,135,267,101,229,292,103,87,428,152,129,1923
2004-11-30,119,271,95,204,256,96,77,360,125,89,1692
2004-12-31,109,293,102,213,299,101,107,438,129,136,1927
2005-01-31,115,280,125,214,339,123,98,453,136,155,2038
2005-02-28,87,255,111,195,289,82,94,384,135,102,1734
2005-03-31,128,298,135,196,336,107,87,461,166,121,2035
2005-04-30,106,257,129,202,323,83,99,479,126,116,1920
2005-05-31,150,295,113,235,392,113,127,517,109,130,2181
2005-06-30,155,328,107,245,432,103,111,513,112,147,2253
2005-07-31,145,345,130,239,451,132,105,512,100,148,2307
2005-08-31,157,349,124,277,461,101,95,569,131,142,2406
2005-09-30,159,292,115,228,420,118,138,467,132,128,2197
2005-10-31,174,303,145,189,449,116,108,399,166,120,2169
2005-11-30,136,258,100,189,415,114,102,410,168,104,1996
2005-12-31,142,284,115,204,401,80,108,446,151,152,2083
2006-01-31,150,304,135,201,473,122,116,530,152,168,2351
2006-02-28,134,301,112,199,372,101,133,428,169,128,2077
2006-03-31,97,348,117,202,490,119,146,550,135,131,2335
2006-04-30,122,339,116,220,481,119,136,553,174,137,2397
2006-05-31,101,339,133,208,478,105,120,571,178,111,2344
2006-06-30,148,351,111,212,448,103,123,503,151,122,2272
2006-07-31,93,313,78,226,451,126,109,538,161,114,2209
