,BAYVIEW,CENTRAL,INGLESIDE,MISSION,NORTHERN,PARK,RICHMOND,SOUTHERN,TARAVAL,TENDERLOIN,ALL
2003-07-31,1071,569,1181,960,1014,610,527,763,857,170,7722
2004-01-31,1056,609,1176,1204,890,607,582,644,874,196,7838
2004-07-31,1111,774,1511,1067,887,728,786,708,1102,179,8853
2005-01-31,1088,635,1410,1261,1041,672,766,887,1432,153,9345
2005-07-31,1196,732,1342,1172,1081,696,689,735,1052,154,8849
2006-01-31,993,629,1242,1062,1100,657,711,660,1021,194,8269
2006-07-31,451,297,565,492,431,273,245,315,449,62,3580
2007-01-31,447,294,637,486,374,256,258,337,468,68,3625
2007-07-31,358,312,427,352,282,184,241,312,362,52,2882
2008-01-31,423,315,510,513,441,241,365,304,414,48,3574
2008-07-31,396,217,442,416,364,198,221,271,364,48,2937
2009-01-31,402,289,399,459,402,244,240,347,312,48,3142
2009-07-31,326,234,427,315,294,158,153,272,260,51,2490
2010-01-31,342,169,448,433,288,192,150,215,245,32,2514
2010-07-31,325,156,353,298,244,167,121,161,206,35,2066
2011-01-31,334,170,449,239,220,133,151,216,281,60,2253
2011-07-31,341,188,363,269,228,125,154,200,231,36,2135
2012-01-31,339,193,438,444,344,276,202,220,215,45,2716
2012-07-31,329,262,617,412,361,273,236,209,219,32,2950
2013-01-31,452,235,699,433,361,251,263,303,294,37,3328
2013-07-31,393,234,581,363,333,161,237,207,312,57,2878
2014-01-31,459,211,708,444,430,211,251,234,353,56,3357
2014-07-31,448,314,662,485,409,265,248,310,367,86,3594
2015-01-31,503,249,765,541,422,250,205,288,324,52,3599
2015-07-31,482,308,739,577,484,320,288,395,425,55,4073
