,BAYVIEW,CENTRAL,INGLESIDE,MISSION,NORTHERN,PARK,RICHMOND,SOUTHERN,TARAVAL,TENDERLOIN,ALL
2003-07-31,311,91,321,202,163,168,84,159,310,60,1869
2004-01-31,272,120,302,225,152,183,89,149,278,49,1819
2004-07-31,339,96,318,248,184,168,99,164,264,66,1946
2005-01-31,273,85,213,208,164,170,77,181,201,55,1627
2005-07-31,374,88,232,276,151,151,80,166,245,52,1815
2006-01-31,349,100,208,300,172,204,90,192,308,60,1983
2006-07-31,434,81,185,252,176,227,63,165,352,55,1990
2007-01-31,476,126,242,283,148,170,103,188,448,55,2239
2007-07-31,408,94,252,267,152,143,67,197,428,54,2062
2008-01-31,468,97,233,262,156,212,92,175,366,65,2126
2008-07-31,578,109,247,238,143,251,98,162,322,58,2206
2009-01-31,478,104,197,224,158,195,92,166,275,67,1956
2009-07-31,361,61,213,190,101,211,92,182,294,68,1773
2010-01-31,419,78,259,205,149,195,75,245,231,81,1937
2010-07-31,454,79,246,261,164,221,77,287,233,73,2095
2011-01-31,632,99,272,253,145,221,92,410,237,83,2444
2011-07-31,673,100,257,241,140,227,95,439,201,82,2455
2012-01-31,440,128,270,262,144,269,116,326,250,83,2288
2012-07-31,490,143,221,288,171,244,78,249,162,65,2111
2013-01-31,407,131,290,295,169,246,139,308,225,96,2306
2013-07-31,270,105,338,284,163,270,103,326,235,69,2163
2014-01-31,286,143,247,340,173,289,135,345,253,89,2300
2014-07-31,298,144,311,476,181,283,105,362,266,113,2539
2015-01-31,268,172,255,334,170,250,107,367,179,86,2188
2015-07-31,329,176,265,313,143,308,145,379,240,94,2392
