,BAYVIEW,CENTRAL,INGLESIDE,MISSION,NORTHERN,PARK,RICHMOND,SOUTHERN,TARAVAL,TENDERLOIN,ALL
2003-04-30,47,111,66,78,136,49,60,173,78,46,844
2003-07-31,41,129,54,75,110,59,48,191,86,47,840
2003-10-31,42,115,67,104,116,45,51,178,80,32,830
2004-01-31,48,104,45,72,119,52,60,138,61,39,738
2004-04-30,44,100,63,89,117,50,52,150,66,52,783
2004-07-31,26,105,65,89,91,44,73,129,66,37,725
2004-10-31,47,82,46,52,63,46,45,129,69,31,610
2005-01-31,43,79,52,66,79,41,46,121,51,34,612
2005-04-30,32,71,58,74,106,45,45,118,46,26,621
2005-07-31,31,74,43,81,69,44,41,110,54,46,593
2005-10-31,45,63,50,57,84,42,47,114,64,46,612
2006-01-31,50,85,61,80,87,39,32,139,54,44,671
2006-04-30,41,96,54,72,106,44,65,127,62,34,701
2006-07-31,39,89,58,80,92,37,53,131,65,31,675
2006-10-31,35,71,44,94,93,37,38,130,56,38,636
2007-01-31,30,65,56,74,72,27,36,97,50,39,546
2007-04-30,35,81,45,67,80,37,32,123,44,46,590
2007-07-31,23,68,43,66,60,29,42,137,45,40,553
2007-10-31,34,79,48,79,51,29,57,134,52,55,618
2008-01-31,38,60,47,67,59,37,47,128,51,51,585
2008-04-30,39,70,41,71,60,28,39,133,52,35,568
2008-07-31,31,97,45,63,75,39,42,164,63,39,658
2008-10-31,28,117,53,83,69,44,38,155,50,35,672
2009-01-31,46,79,44,69,82,27,41,177,65,56,686
2009-04-30,26,63,42,71,66,33,53,143,50,50,597
2009-07-31,31,74,53,75,77,30,64,160,67,37,668
2009-10-31,36,76,40,75,69,33,49,154,68,38,638
2010-01-31,28,82,47,60,71,38,41,151,61,40,619
2010-04-30,31,65,43,68,79,38,33,147,45,48,597
2010-07-31,33,105,43,67,79,33,56,172,60,48,696
2010-10-31,36,78,55,63,87,37,45,194,68,53,716
2011-01-31,30,84,42,70,97,41,29,162,60,37,652
2011-04-30,38,69,37,77,118,49,47,155,69,46,705
2011-07-31,35,82,55,69,78,35,33,146,63,54,650
2011-10-31,33,85,40,73,84,42,52,169,71,58,707
2012-01-31,33,98,51,86,96,30,46,140,73,35,688
2012-04-30,29,95,47,82,97,37,40,128,76,43,674
2012-07-31,37,89,55,77,87,36,38,105,68,46,638
2012-10-31,40,100,43,84,77,39,24,144,78,42,671
2013-01-31,44,92,64,96,78,28,54,135,74,57,722
2013-04-30,44,84,55,92,70,44,34,124,60,41,648
2013-07-31,29,98,50,74,86,37,43,120,60,52,649
2013-10-31,46,100,57,110,72,36,45,136,67,52,721
2014-01-31,35,182,58,102,86,39,50,125,64,53,794
2014-04-30,45,144,48,105,76,36,63,119,68,45,749
2014-07-31,32,95,46,115,79,37,48,110,68,47,677
2014-10-31,36,146,39,107,91,44,39,171,55,59,787
2015-01-31,25,145,62,91,77,37,46,118,80,70,751
2015-04-30,40,118,58,110,111,39,53,146,88,65,828
2015-07-31,40,173,50,84,117,39,41,166,84,69,863
2015-10-31,38,89,52,92,92,38,42,130,75,41,689
