,BAYVIEW,CENTRAL,INGLESIDE,MISSION,NORTHERN,PARK,RICHMOND,SOUTHERN,TARAVAL,TENDERLOIN,ALL
2003-04-30,169,165,158,202,230,124,141,189,141,52,1571
2003-07-31,189,225,134,183,193,126,102,172,130,45,1499
2003-10-31,172,196,107,150,233,158,108,188,109,74,1495
2004-01-31,141,201,141,144,239,141,127,199,119,72,1524
2004-04-30,171,203,162,156,293,122,137,181,163,68,1656
2004-07-31,155,232,147,181,287,128,131,206,156,65,1688
2004-10-31,152,211,142,210,277,128,101,235,128,59,1643
2005-01-31,217,236,209,165,272,180,141,270,169,71,1930
2005-04-30,184,223,172,199,237,121,155,231,173,57,1752
2005-07-31,185,301,138,213,323,177,148,189,154,71,1899
2005-10-31,220,196,118,213,280,126,100,163,182,54,1652
2006-01-31,186,220,137,123,318,114,119,180,134,66,1597
2006-04-30,156,215,117,184,323,197,157,171,130,57,1707
2006-07-31,218,247,145,189,300,198,123,213,152,92,1877
2006-10-31,216,210,165,181,288,126,120,233,129,60,1728
2007-01-31,145,183,161,194,260,161,99,239,164,60,1666
2007-04-30,155,130,111,122,228,86,78,191,125,58,1284
2007-07-31,196,186,151,134,206,67,90,179,121,53,1383
2007-10-31,187,152,107,129,198,79,71,207,142,43,1315
2008-01-31,172,174,122,161,195,97,79,201,133,71,1405
2008-04-30,162,125,137,109,243,101,79,149,133,54,1292
2008-07-31,153,163,153,150,198,109,88,203,124,55,1396
2008-10-31,197,172,119,177,276,128,81,177,118,64,1509
2009-01-31,177,195,131,131,260,103,95,212,123,62,1489
2009-04-30,169,162,123,116,240,106,73,196,123,71,1379
2009-07-31,168,161,123,126,230,82,76,221,98,63,1348
2009-10-31,193,146,104,101,219,63,94,197,122,59,1298
2010-01-31,170,151,91,122,242,71,94,208,124,61,1334
2010-04-30,154,132,115,97,230,91,94,144,103,54,1214
2010-07-31,146,186,125,105,242,63,83,212,150,69,1381
2010-10-31,140,138,131,89,143,93,86,147,144,70,1181
2011-01-31,159,142,110,96,183,83,113,185,99,41,1211
2011-04-30,114,123,89,72,146,71,97,158,133,63,1066
2011-07-31,125,133,112,107,167,84,90,170,122,64,1174
2011-10-31,140,146,117,125,169,149,105,173,165,65,1354
2012-01-31,165,142,116,116,238,128,93,166,197,61,1422
2012-04-30,137,126,151,114,260,140,118,176,197,57,1476
2012-07-31,157,167,132,188,221,132,119,209,155,61,1541
2012-10-31,180,201,140,161,254,151,113,171,187,65,1623
2013-01-31,152,182,130,165,265,121,143,229,181,73,1641
2013-04-30,118,166,147,118,241,118,140,222,165,64,1499
2013-07-31,98,176,113,169,223,163,147,237,123,77,1526
2013-10-31,166,197,147,163,223,149,132,241,145,64,1627
2014-01-31,148,215,126,177,269,120,152,230,140,78,1655
2014-04-30,106,267,104,169,241,146,102,239,126,54,1554
2014-07-31,130,208,118,171,224,87,87,211,131,60,1427
2014-10-31,118,253,131,172,196,83,85,227,160,64,1489
2015-01-31,139,172,166,164,193,110,68,244,180,40,1476
2015-04-30,133,183,146,166,253,120,116,183,129,51,1480
2015-07-31,155,200,167,170,225,129,91,231,137,46,1551
2015-10-31,141,178,110,160,202,110,99,235,128,45,1408
