,BAYVIEW,CENTRAL,INGLESIDE,MISSION,NORTHERN,PARK,RICHMOND,SOUTHERN,TARAVAL,TENDERLOIN,ALL
2012-01-31,28,11,11,14,8,6,4,22,11,6,121
2012-02-29,24,4,12,18,12,1,11,20,11,10,123
2012-03-31,21,5,15,11,18,1,2,15,5,10,103
2012-04-30,16,5,13,12,11,7,6,11,4,9,94
2012-05-31,25,8,25,19,10,3,5,13,9,13,130
2012-06-30,30,12,11,18,9,5,4,7,4,14,114
2012-07-31,40,6,14,32,7,11,1,12,8,12,143
2012-08-31,30,12,20,23,13,7,1,12,6,6,130
2012-09-30,23,11,15,19,10,4,4,23,9,9,127
2012-10-31,27,6,20,31,10,6,5,27,6,10,148
2012-11-30,22,5,10,14,9,9,7,19,11,8,114
2012-12-31,14,7,19,20,6,5,3,12,9,18,113
2013-01-31,21,5,18,15,9,7,4,19,17,8,123
2013-02-28,20,4,15,22,4,6,7,17,7,11,113
2013-03-31,46,2,12,27,11,4,2,21,9,15,149
2013-04-30,34,6,11,12,15,2,8,13,5,11,117
2013-05-31,24,4,9,28,12,8,5,25,12,17,144
2013-06-30,29,6,14,37,6,2,7,19,3,8,131
2013-07-31,23,7,12,30,7,4,6,23,5,12,129
2013-08-31,16,5,16,24,13,6,4,24,13,12,133
2013-09-30,28,3,9,12,9,3,9,10,6,17,106
2013-10-31,38,6,12,27,11,2,3,27,3,11,140
2013-11-30,21,20,10,24,14,3,4,18,5,10,129
2013-12-31,25,8,21,26,19,1,2,11,1,8,122
2014-01-31,37,5,9,32,4,6,0,24,10,17,144
2014-02-28,43,7,22,10,9,3,6,9,4,18,131
2014-03-31,33,7,16,20,24,8,3,13,15,18,157
2014-04-30,28,5,13,14,15,8,2,15,7,10,117
2014-05-31,27,10,15,23,6,5,3,15,4,6,114
2014-06-30,35,7,9,31,23,2,6,20,4,24,161
2014-07-31,38,6,16,29,14,8,1,8,2,11,133
2014-08-31,25,6,16,26,22,1,4,26,11,6,143
2014-09-30,26,7,19,27,9,8,2,20,2,15,135
2014-10-31,16,15,13,22,7,2,1,24,7,13,120
2014-11-30,20,9,13,23,11,5,3,18,6,10,118
2014-12-31,24,6,8,24,8,12,2,18,5,1,108
2015-01-31,26,10,18,38,7,1,2,17,9,20,148
2015-02-28,25,14,18,28,8,1,2,22,7,18,143
2015-03-31,25,9,18,27,7,4,2,30,6,13,141
2015-04-30,23,8,20,32,18,0,5,22,1,13,142
2015-05-31,29,11,10,28,12,2,6,12,7,8,125
2015-06-30,34,8,7,18,4,2,6,20,2,16,117
2015-07-31,25,16,12,25,18,6,4,20,2,16,144
2015-08-31,33,4,24,33,17,6,2,32,6,13,170
2015-09-30,26,6,17,29,6,4,2,22,5,10,127
2015-10-31,32,6,16,38,15,3,4,18,3,11,146
2015-11-30,26,10,17,18,5,7,3,14,5,12,117
