,BAYVIEW,CENTRAL,INGLESIDE,MISSION,NORTHERN,PARK,RICHMOND,SOUTHERN,TARAVAL,TENDERLOIN,ALL
2003-02-28,45,46,47,35,46,23,29,41,41,27,380
2003-03-31,41,31,43,38,39,19,30,50,31,32,354
2003-04-30,24,29,39,38,35,16,31,47,33,22,314
2003-05-31,35,40,46,41,44,18,34,49,46,21,374
2003-06-30,40,30,25,39,41,17,27,42,35,22,318
2003-07-31,37,34,45,46,41,18,28,36,37,16,338
2003-08-31,40,44,39,53,34,20,28,42,40,23,363
2003-09-30,49,27,64,56,39,10,29,52,36,25,387
2003-10-31,38,35,45,37,32,29,29,52,33,23,353
2003-11-30,34,31,31,35,48,19,23,43,27,17,308
2003-12-31,43,34,35,50,46,12,22,52,34,18,346
2004-01-31,50,34,43,41,47,19,18,35,35,29,351
2004-02-29,37,24,49,42,46,13,21,31,38,20,321
2004-03-31,49,32,51,56,48,27,19,38,37,24,381
2004-04-30,60,31,40,61,39,22,26,48,29,29,385
2004-05-31,52,29,52,48,36,16,29,54,43,17,376
2004-06-30,49,28,36,44,39,17,31,63,37,28,372
2004-07-31,49,30,38,32,42,29,21,50,46,21,358
2004-08-31,59,42,37,50,38,16,19,63,36,32,392
2004-09-30,47,36,55,47,40,23,23,50,47,30,398
2004-10-31,40,43,56,46,48,22,28,41,42,24,390
2004-11-30,34,30,54,51,33,27,14,46,35,26,350
2004-12-31,51,49,32,47,55,24,31,60,32,34,415
2005-01-31,51,30,50,43,40,19,28,71,47,22,401
2005-02-28,49,22,42,38,39,16,24,53,49,25,357
2005-03-31,51,30,49,49,46,23,34,59,60,29,430
2005-04-30,54,30,60,44,32,31,18,62,56,33,420
2005-05-31,52,28,49,42,39,20,30,52,57,23,392
2005-06-30,35,33,40,47,33,15,25,59,52,20,359
2005-07-31,34,34,40,49,29,20,21,68,40,22,357
2005-08-31,37,28,34,43,49,25,26,71,50,33,396
2005-09-30,50,30,50,34,41,19,18,51,46,37,376
2005-10-31,49,35,43,59,38,30,32,43,48,41,418
2005-11-30,40,33,40,34,38,28,14,57,41,30,355
2005-12-31,53,35,42,41,48,24,34,76,48,31,432
2006-01-31,65,36,47,43,47,25,30,49,33,30,405
2006-02-28,43,36,35,39,39,18,20,52,46,19,347
2006-03-31,51,27,45,54,43,13,32,85,41,27,418
2006-04-30,65,38,40,49,47,20,23,72,33,28,415
2006-05-31,60,26,44,56,44,24,20,65,61,25,425
2006-06-30,54,39,43,27,52,16,30,52,49,31,393
2006-07-31,64,31,48,66,38,28,24,59,40,43,441
2006-08-31,48,25,29,50,48,16,25,53,39,38,371
2006-09-30,49,35,39,37,33,19,19,51,41,31,354
2006-10-31,56,45,44,40,54,15,32,63,41,21,411
2006-11-30,50,40,38,39,37,14,29,71,46,20,384
2006-12-31,46,42,46,50,45,21,36,52,45,28,411
2007-01-31,64,29,45,63,44,23,26,65,38,26,423
2007-02-28,56,34,48,60,41,25,23,45,37,29,398
2007-03-31,60,32,61,43,38,19,32,55,42,45,427
2007-04-30,42,34,41,39,35,17,23,67,36,37,371
2007-05-31,57,35,57,47,46,20,33,67,32,31,425
2007-06-30,47,41,36,57,31,17,30,52,35,30,376
2007-07-31,52,40,53,42,31,16,18,60,36,36,384
2007-08-31,63,37,42,48,54,23,30,57,37,42,433
2007-09-30,50,31,39,43,45,20,30,73,53,40,424
2007-10-31,44,36,43,50,32,20,28,65,48,27,393
