,BAYVIEW,CENTRAL,INGLESIDE,MISSION,NORTHERN,PARK,RICHMOND,SOUTHERN,TARAVAL,TENDERLOIN,ALL
2003-07-31,358,390,292,385,423,250,243,361,271,97,3070
2004-01-31,313,397,248,294,472,299,235,387,228,146,3019
2004-07-31,326,435,309,337,580,250,268,387,319,133,3344
2005-01-31,369,447,351,375,549,308,242,505,297,130,3573
2005-07-31,369,524,310,412,560,298,303,420,327,128,3651
2006-01-31,406,416,255,336,598,240,219,343,316,120,3249
2006-07-31,374,462,262,373,623,395,280,384,282,149,3584
2007-01-31,361,393,326,375,548,287,219,472,293,120,3394
2007-07-31,351,316,262,256,434,153,168,370,246,111,2667
2008-01-31,359,326,229,290,393,176,150,408,275,114,2720
2008-07-31,315,288,290,259,441,210,167,352,257,109,2688
2009-01-31,374,367,250,308,536,231,176,389,241,126,2998
2009-07-31,337,323,246,242,470,188,149,417,221,134,2727
2010-01-31,363,297,195,223,461,134,188,405,246,120,2632
2010-07-31,300,318,240,202,472,154,177,356,253,123,2595
2011-01-31,299,280,241,185,326,176,199,332,243,111,2392
2011-07-31,239,256,201,179,313,155,187,328,255,127,2240
2012-01-31,305,288,233,241,407,277,198,339,362,126,2776
2012-07-31,294,293,283,302,481,272,237,385,352,118,3017
2013-01-31,332,383,270,326,519,272,256,400,368,138,3264
2013-07-31,216,342,260,287,464,281,287,459,288,141,3025
2014-01-31,314,412,273,340,492,269,284,471,285,142,3282
2014-07-31,236,475,222,340,465,233,189,450,257,114,2981
2015-01-31,257,425,297,336,389,193,153,471,340,104,2965
2015-07-31,288,383,313,336,478,249,207,414,266,97,3031
