,BAYVIEW,CENTRAL,INGLESIDE,MISSION,NORTHERN,PARK,RICHMOND,SOUTHERN,TARAVAL,TENDERLOIN,ALL
2004-01-31,999,1526,1144,1894,1591,676,893,2628,1048,800,13199
2005-01-31,1073,1656,1157,1926,1624,710,875,2854,1093,889,13857
2006-01-31,907,1711,1110,1935,1574,686,829,3257,1123,918,14050
2007-01-31,835,1577,1043,1818,1553,732,710,3065,995,967,13295
2008-01-31,770,1543,987,1742,1427,581,784,2890,826,1077,12627
2009-01-31,743,1521,933,1755,1304,589,728,2710,969,1015,12267
2010-01-31,770,1546,963,1566,1413,689,749,2716,938,1079,12429
2011-01-31,835,1636,977,1851,1441,760,796,3333,980,1494,14103
2012-01-31,957,1852,1111,2199,1645,1115,824,3438,1115,1347,15603
2013-01-31,1250,1893,1223,2265,1937,1430,1133,3454,1363,1416,17364
2014-01-31,1463,2108,1498,2832,2207,1932,1320,4303,1601,1810,21074
2015-01-31,1223,2362,1270,2542,2068,1572,1359,3898,1461,1599,19354
