,BAYVIEW,CENTRAL,INGLESIDE,MISSION,NORTHERN,PARK,RICHMOND,SOUTHERN,TARAVAL,TENDERLOIN,ALL
2003-02-28,9,15,11,9,9,1,4,26,2,12,98
2003-03-31,8,15,5,17,15,9,5,34,6,10,124
2003-04-30,5,13,5,26,9,9,7,46,3,12,135
2003-05-31,9,10,6,24,16,3,8,37,0,11,124
2003-06-30,7,16,5,14,12,2,8,35,10,10,119
2003-07-31,9,15,5,8,16,7,2,22,5,13,102
2003-08-31,8,13,6,8,12,2,1,27,4,13,94
2003-09-30,1,22,13,11,16,5,5,34,10,16,133
2003-10-31,10,18,11,16,9,9,2,38,3,8,124
2003-11-30,6,15,4,20,18,1,2,30,10,5,111
2003-12-31,3,13,6,20,8,5,2,46,7,6,116
2004-01-31,16,9,3,17,11,7,4,30,4,9,110
2004-02-29,7,10,8,23,10,4,2,29,4,12,109
2004-03-31,5,14,3,10,17,3,1,16,7,16,92
2004-04-30,13,23,7,16,13,4,3,21,7,9,116
2004-05-31,19,14,11,17,9,3,6,27,6,3,115
2004-06-30,8,20,4,15,16,2,2,17,11,2,97
2004-07-31,7,15,2,14,18,6,2,18,3,4,89
2004-08-31,9,12,3,21,14,3,4,32,5,5,108
2004-09-30,7,17,6,10,7,5,4,21,9,7,93
2004-10-31,8,18,5,14,9,1,1,21,1,13,91
2004-11-30,7,7,5,19,5,5,2,26,3,7,86
2004-12-31,7,14,5,10,5,5,4,17,6,12,85
2005-01-31,9,21,5,17,6,5,1,22,3,10,99
2005-02-28,7,8,4,7,10,3,2,17,2,7,67
2005-03-31,11,9,7,8,5,1,5,15,6,10,77
2005-04-30,8,19,6,13,5,3,4,10,4,15,87
2005-05-31,12,16,7,12,11,7,4,13,9,3,94
2005-06-30,16,11,5,10,11,1,3,14,5,4,80
2005-07-31,15,19,3,9,13,11,3,13,5,7,98
2005-08-31,18,16,4,11,15,1,2,12,3,14,96
2005-09-30,11,11,2,13,9,3,6,11,6,8,80
2005-10-31,6,21,2,8,10,6,7,18,6,14,98
2005-11-30,10,7,3,5,7,2,5,19,2,8,68
2005-12-31,8,12,9,15,12,3,1,12,6,12,90
2006-01-31,12,18,3,13,6,9,2,21,10,10,104
2006-02-28,8,16,5,16,6,4,3,12,4,5,79
2006-03-31,8,13,5,14,14,1,2,17,6,9,89
2006-04-30,10,9,3,7,2,2,4,18,3,10,68
2006-05-31,6,19,4,11,11,5,1,23,8,0,88
2006-06-30,10,14,3,9,13,6,3,29,10,12,109
2006-07-31,8,11,8,16,14,1,3,21,4,8,94
2006-08-31,15,7,6,18,10,8,4,25,7,7,107
2006-09-30,13,5,6,15,4,5,1,17,6,11,83
2006-10-31,15,14,3,17,12,3,1,20,6,12,103
2006-11-30,7,11,5,16,7,8,1,21,5,9,90
2006-12-31,8,18,1,13,8,6,1,21,4,8,88
2007-01-31,14,12,9,19,10,7,3,19,6,12,111
2007-02-28,8,9,2,18,14,1,2,17,5,11,87
2007-03-31,41,7,14,12,25,3,5,18,2,5,132
2007-04-30,14,14,13,14,13,8,3,15,5,6,105
2007-05-31,36,16,4,18,12,5,3,22,8,9,133
2007-06-30,16,10,6,25,10,4,1,17,9,4,102
2007-07-31,13,12,4,15,8,4,6,18,7,6,93
2007-08-31,14,11,8,13,8,6,2,11,7,11,91
2007-09-30,16,8,8,13,7,2,2,15,12,12,95
2007-10-31,19,14,8,14,5,2,0,11,4,8,85
2007-11-30,11,9,9,10,12,6,2,14,4,9,86
2007-12-31,8,7,8,10,5,4,5,11,3,17,78
2008-01-31,11,8,2,32,8,6,6,23,4,19,119
2008-02-29,4,10,3,11,8,3,4,17,9,14,83
2008-03-31,7,12,5,11,10,5,6,14,1,14,85
2008-04-30,8,11,5,10,4,3,8,9,3,23,84
2008-05-31,14,11,10,13,6,0,4,15,6,17,96
2008-06-30,3,12,6,9,5,2,5,9,4,19,74
2008-07-31,7,19,2,18,5,5,4,19,10,31,120
2008-08-31,3,16,5,12,13,4,2,19,9,28,111
2008-09-30,12,7,3,10,9,6,4,18,6,43,118
2008-10-31,14,15,7,16,10,3,1,11,6,19,102
2008-11-30,3,11,3,18,8,3,0,12,3,12,73
2008-12-31,4,11,5,11,10,1,2,18,5,19,86
2009-01-31,3,14,4,18,11,2,4,15,5,33,109
2009-02-28,6,6,8,9,7,0,3,12,4,31,86
2009-03-31,8,12,5,18,6,2,3,10,3,31,98
2009-04-30,3,5,2,17,6,6,8,31,6,35,119
