,BAYVIEW,CENTRAL,INGLESIDE,MISSION,NORTHERN,PARK,RICHMOND,SOUTHERN,TARAVAL,TENDERLOIN,ALL
2003-07-31,46,51,14,92,106,18,10,62,11,21,431
2004-01-31,29,63,22,95,72,27,12,82,15,19,436
2004-07-31,12,79,11,153,56,28,13,64,19,13,448
2005-01-31,16,69,8,93,50,48,3,68,18,12,385
2005-07-31,17,48,18,103,52,27,6,33,27,8,339
2006-01-31,44,27,17,62,51,31,14,27,23,11,307
2006-07-31,14,39,8,76,27,29,9,15,17,12,246
2007-01-31,15,28,13,93,34,15,8,38,21,10,275
2007-07-31,9,56,11,94,23,26,10,35,18,13,295
2008-01-31,10,33,15,118,16,17,9,28,15,20,281
2008-07-31,12,38,14,80,19,10,11,54,9,109,356
2009-01-31,9,37,14,109,32,19,8,37,8,213,486
2009-07-31,16,23,14,135,20,29,8,34,9,190,478
2010-01-31,25,38,12,121,25,50,11,28,13,135,458
2010-07-31,16,25,22,119,18,18,9,35,8,160,430
2011-01-31,24,40,14,108,42,17,6,37,15,91,394
2011-07-31,11,29,12,94,44,31,7,42,13,117,400
2012-01-31,7,35,17,60,36,12,8,51,13,116,355
2012-07-31,10,27,15,48,56,21,8,46,11,123,365
2013-01-31,12,24,21,59,51,17,4,43,7,92,330
2013-07-31,12,26,16,78,23,10,8,29,8,43,253
2014-01-31,15,28,10,61,8,15,7,30,8,11,193
2014-07-31,23,17,6,64,11,9,3,21,3,16,173
2015-01-31,16,19,9,48,20,12,4,32,7,15,182
2015-07-31,15,31,6,54,26,15,5,54,9,16,231
