,BAYVIEW,CENTRAL,INGLESIDE,MISSION,NORTHERN,PARK,RICHMOND,SOUTHERN,TARAVAL,TENDERLOIN,ALL
2004-01-31,2938,1494,1893,3758,2209,827,771,4063,1326,2055,21334
2005-01-31,2848,1375,1956,3413,2081,786,764,3740,1311,1876,20150
2006-01-31,2591,1075,1890,3014,1945,936,691,2884,1272,1731,18029
2007-01-31,2660,1235,2214,2856,2096,1091,661,2589,1128,1818,18348
2008-01-31,2472,1248,2386,2848,1935,1333,734,3111,1200,2521,19788
2009-01-31,2868,1500,2475,3925,2087,1159,991,3914,1563,3521,24003
2010-01-31,3046,1722,2364,3611,2230,1224,963,3839,1532,3683,24214
2011-01-31,2793,1590,2337,3081,1869,1032,1071,3597,1317,2311,20998
2012-01-31,2677,1496,2255,2705,1775,947,977,3370,1370,1946,19518
2013-01-31,2568,1521,2031,2490,1724,887,1023,3133,1482,1685,18544
2014-01-31,2685,1445,2140,2786,1898,1000,963,3356,1408,1841,19522
2015-01-31,2724,1802,2175,2960,2146,1204,1122,3406,1640,1583,20762
