,BAYVIEW,CENTRAL,INGLESIDE,MISSION,NORTHERN,PARK,RICHMOND,SOUTHERN,TARAVAL,TENDERLOIN,ALL
2003-02-28,192,133,154,368,163,80,70,402,103,153,1818
2003-03-31,212,135,147,273,172,92,50,355,108,167,1711
2003-04-30,221,95,166,240,151,69,62,329,102,140,1575
2003-05-31,233,118,154,283,190,57,61,334,92,172,1694
2003-06-30,271,116,138,298,155,70,68,331,108,148,1703
2003-07-31,271,121,150,306,214,50,91,258,119,178,1758
2003-08-31,290,135,162,331,184,75,68,285,102,189,1821
2003-09-30,248,133,168,299,173,71,62,398,106,199,1857
2003-10-31,243,153,175,325,194,68,82,436,124,172,1972
2003-11-30,241,112,156,372,196,68,57,327,131,173,1833
2003-12-31,195,90,137,255,170,45,48,295,103,151,1489
2004-01-31,321,153,186,408,247,82,52,313,128,213,2103
2004-02-29,283,125,177,254,206,67,62,331,105,190,1800
2004-03-31,215,138,182,277,200,69,74,332,99,203,1789
2004-04-30,311,116,163,386,177,58,67,308,123,175,1884
2004-05-31,286,119,185,338,225,76,66,358,127,196,1976
2004-06-30,220,137,160,357,179,64,66,445,119,109,1856
2004-07-31,275,124,171,302,155,64,72,303,113,138,1717
2004-08-31,236,92,169,366,166,80,65,308,105,151,1738
2004-09-30,177,109,162,229,174,70,68,294,117,136,1536
2004-10-31,237,110,134,250,188,73,64,320,110,135,1621
2004-11-30,191,96,128,225,124,57,58,227,99,121,1326
2004-12-31,195,104,156,189,145,42,39,247,88,159,1364
2005-01-31,222,105,169,240,142,66,63,267,106,163,1543
2005-02-28,200,89,158,268,145,56,62,239,102,127,1446
2005-03-31,233,104,178,259,153,67,66,266,110,163,1599
2005-04-30,226,110,160,284,139,79,50,310,115,163,1636
2005-05-31,174,98,150,259,129,104,85,287,95,138,1519
2005-06-30,202,87,129,234,151,91,54,244,108,117,1417
2005-07-31,245,106,143,226,162,77,48,211,132,122,1472
2005-08-31,201,93,180,226,151,83,48,254,111,147,1494
2005-09-30,214,72,143,231,156,67,68,220,88,149,1408
2005-10-31,250,81,146,312,153,76,48,233,102,185,1586
2005-11-30,246,68,126,235,176,71,55,203,106,126,1412
2005-12-31,202,69,154,202,193,68,48,154,77,135,1302
2006-01-31,198,98,223,278,237,97,59,263,126,159,1738
2006-02-28,202,91,174,267,203,65,42,243,85,138,1510
2006-03-31,183,113,195,256,190,86,49,223,113,151,1559
2006-04-30,184,116,181,267,146,75,56,185,97,157,1464
2006-05-31,173,127,151,244,195,63,38,194,115,141,1441
2006-06-30,191,102,196,221,185,90,74,195,87,156,1497
2006-07-31,221,97,202,231,140,91,49,221,98,162,1512
2006-08-31,314,90,189,254,188,107,62,243,77,182,1706
2006-09-30,238,103,171,192,170,111,67,181,95,129,1457
2006-10-31,246,114,193,243,186,121,82,213,90,147,1635
2006-11-30,244,95,175,222,151,91,44,214,75,128,1439
2006-12-31,200,81,166,197,169,84,36,196,85,134,1348
2007-01-31,264,106,221,262,173,107,62,281,111,193,1780
2007-02-28,191,81,228,241,209,106,57,242,56,211,1622
2007-03-31,276,130,243,256,204,114,68,264,94,182,1831
2007-04-30,233,87,178,216,151,111,45,245,84,167,1517
2007-05-31,219,95,202,249,186,94,58,278,106,206,1693
2007-06-30,178,103,151,216,134,125,57,254,101,158,1477
2007-07-31,174,107,194,194,144,93,34,293,84,182,1499
2007-08-31,178,86,192,199,126,134,66,255,117,212,1565
2007-09-30,200,99,210,250,177,127,71,257,91,232,1714
2007-10-31,190,113,213,246,153,109,82,274,121,262,1763
2007-11-30,209,116,215,285,146,122,79,240,115,273,1800
2007-12-31,198,114,166,213,132,92,48,253,95,191,1502
2008-01-31,226,117,194,283,173,106,69,256,136,245,1805
2008-02-29,225,97,176,287,147,102,61,268,132,266,1761
2008-03-31,261,106,197,335,192,92,94,327,140,287,2031
2008-04-30,258,91,190,282,141,108,88,287,140,190,1775
2008-05-31,246,116,229,296,153,105,101,321,129,267,1963
2008-06-30,169,107,185,293,134,82,101,343,114,285,1813
2008-07-31,220,139,208,328,142,98,88,374,128,322,2047
2008-08-31,188,122,204,283,190,81,59,290,106,261,1784
2008-09-30,236,128,191,401,159,89,76,300,108,307,1995
2008-10-31,286,134,217,398,187,93,71,375,143,334,2238
2008-11-30,252,172,274,284,182,99,86,348,116,375,2188
2008-12-31,237,151,211,313,240,89,81,312,143,280,2057
2009-01-31,290,137,193,425,220,121,85,369,164,347,2351
2009-02-28,272,129,200,318,199,114,69,340,155,325,2121
2009-03-31,237,195,235,356,223,97,95,394,175,428,2435
2009-04-30,198,157,197,321,203,122,73,342,152,404,2169
2009-05-31,203,157,219,299,181,108,72,325,135,291,1990
