,BAYVIEW,CENTRAL,INGLESIDE,MISSION,NORTHERN,PARK,RICHMOND,SOUTHERN,TARAVAL,TENDERLOIN,ALL
2011-12-31,131,95,101,137,131,42,45,175,60,86,1003
2012-01-31,149,102,126,141,132,43,37,165,89,80,1064
2012-02-29,118,88,116,153,110,45,42,167,78,88,1005
2012-03-31,123,114,130,161,93,42,51,149,66,89,1018
2012-04-30,126,84,112,138,98,41,42,179,77,97,994
2012-05-31,158,103,91,158,88,48,40,143,82,95,1006
2012-06-30,112,84,128,152,96,37,49,178,73,88,997
2012-07-31,146,81,98,152,113,35,31,157,57,95,965
2012-08-31,142,90,124,172,111,37,43,178,86,74,1057
2012-09-30,114,91,118,164,105,46,41,173,59,82,993
2012-10-31,127,87,130,177,125,65,57,194,85,84,1131
2012-11-30,147,85,112,181,108,39,45,154,65,80,1016
2012-12-31,129,105,79,163,70,36,29,176,62,86,935
2013-01-31,146,103,121,135,111,30,32,133,93,93,997
2013-02-28,140,74,106,166,87,43,35,149,65,87,952
2013-03-31,160,105,127,167,126,46,43,191,61,108,1134
2013-04-30,161,81,99,168,113,46,34,160,65,100,1027
2013-05-31,134,95,108,203,134,56,50,182,77,97,1136
2013-06-30,163,90,91,189,125,50,45,186,70,124,1133
2013-07-31,98,78,111,174,98,36,23,177,40,113,948
2013-08-31,115,101,109,160,112,45,49,200,76,125,1092
2013-09-30,146,100,114,193,122,49,39,155,49,136,1103
2013-10-31,139,107,103,178,127,50,43,172,68,120,1107
2013-11-30,111,107,96,154,101,42,35,175,83,99,1003
2013-12-31,128,79,117,136,106,32,33,139,73,108,951
2014-01-31,126,83,130,159,101,37,44,176,69,89,1014
2014-02-28,108,96,104,121,98,35,47,171,44,88,912
2014-03-31,120,79,113,170,88,49,30,177,80,132,1038
2014-04-30,126,99,101,143,97,43,30,139,73,123,974
2014-05-31,145,98,115,162,101,46,32,173,61,119,1052
2014-06-30,135,97,107,181,101,39,32,190,47,109,1038
2014-07-31,134,109,117,150,121,57,27,205,79,113,1112
2014-08-31,147,105,111,157,103,36,31,194,49,127,1060
2014-09-30,132,96,149,175,114,41,45,177,73,96,1098
2014-10-31,118,119,117,189,135,48,50,192,62,134,1164
2014-11-30,116,107,116,162,120,43,31,134,61,99,989
2014-12-31,118,89,83,141,123,38,42,150,70,103,957
2015-01-31,91,115,147,155,129,43,40,182,80,119,1101
2015-02-28,130,109,109,148,118,50,35,145,62,96,1002
2015-03-31,149,132,135,187,127,49,32,183,83,101,1178
2015-04-30,145,116,116,175,126,46,39,170,63,97,1093
2015-05-31,160,104,102,182,118,54,38,162,88,106,1114
2015-06-30,127,101,108,178,130,53,35,180,83,105,1100
2015-07-31,152,112,126,174,114,38,51,156,72,118,1113
2015-08-31,141,120,116,192,115,64,45,190,84,95,1162
2015-09-30,147,101,163,166,107,56,37,210,70,105,1162
2015-10-31,162,102,102,167,120,49,42,195,75,96,1110
2015-11-30,120,98,109,134,128,32,31,152,73,81,958
