,BAYVIEW,CENTRAL,INGLESIDE,MISSION,NORTHERN,PARK,RICHMOND,SOUTHERN,TARAVAL,TENDERLOIN,ALL
2003-07-31,88,240,120,153,246,108,108,364,164,93,1684
2004-01-31,90,219,112,176,235,97,111,316,141,71,1568
2004-07-31,70,205,128,178,208,94,125,279,132,89,1508
2005-01-31,90,161,98,118,142,87,91,250,120,65,1222
2005-07-31,63,145,101,155,175,89,86,228,100,72,1214
2006-01-31,95,148,111,137,171,81,79,253,118,90,1283
2006-07-31,80,185,112,152,198,81,118,258,127,65,1376
2007-01-31,65,136,100,168,165,64,74,227,106,77,1182
2007-07-31,58,149,88,133,140,66,74,260,89,86,1143
2008-01-31,72,139,95,146,110,66,104,262,103,106,1203
2008-07-31,70,167,86,134,135,67,81,297,115,74,1226
2009-01-31,74,196,97,152,151,71,79,332,115,91,1358
2009-07-31,57,137,95,146,143,63,117,303,117,87,1265
2010-01-31,64,158,87,135,140,71,90,305,129,78,1257
2010-07-31,64,170,86,135,158,71,89,319,105,96,1293
2011-01-31,66,162,97,133,184,78,74,356,128,90,1368
2011-07-31,73,151,92,146,196,84,80,301,132,100,1355
2012-01-31,66,183,91,159,180,72,98,309,144,93,1395
2012-07-31,66,184,102,159,184,73,78,233,144,89,1312
2013-01-31,84,192,107,180,155,67,78,279,152,99,1393
2013-07-31,73,182,105,166,156,81,77,244,120,93,1297
2014-01-31,81,282,115,212,158,75,95,261,131,105,1515
2014-07-31,77,239,94,220,155,73,111,229,136,92,1426
2015-01-31,61,291,101,198,168,81,85,289,135,129,1538
2015-07-31,80,291,108,194,228,78,94,312,172,134,1691
