,BAYVIEW,CENTRAL,INGLESIDE,MISSION,NORTHERN,PARK,RICHMOND,SOUTHERN,TARAVAL,TENDERLOIN,ALL
2014-10-31,15,57,19,36,32,16,14,58,20,24,291
2014-11-30,9,39,24,36,28,12,16,40,34,13,251
2014-12-31,9,44,18,26,26,12,11,35,22,32,235
2015-01-31,7,62,20,29,23,13,19,43,24,25,265
2015-02-28,14,35,22,36,45,8,16,45,25,23,269
2015-03-31,15,40,18,41,31,18,22,47,29,20,281
2015-04-30,11,43,18,33,35,13,15,54,34,22,278
2015-05-31,16,61,15,32,43,12,13,59,37,24,312
2015-06-30,11,58,17,34,42,11,15,59,22,21,290
2015-07-31,13,54,18,18,32,16,13,48,25,24,261
2015-08-31,13,30,19,30,32,13,13,55,29,12,246
2015-09-30,11,42,14,21,27,11,16,34,24,20,220
2015-10-31,14,17,19,41,33,14,13,41,22,9,223
2015-11-30,12,25,12,33,26,12,11,48,15,14,208
