,BAYVIEW,CENTRAL,INGLESIDE,MISSION,NORTHERN,PARK,RICHMOND,SOUTHERN,TARAVAL,TENDERLOIN,ALL
2003-04-30,53,17,53,34,31,22,25,42,34,32,343
2003-07-31,53,11,38,39,15,14,16,26,17,23,252
2003-10-31,48,15,58,58,27,17,15,41,21,43,343
2004-01-31,75,27,42,38,32,17,18,32,24,26,331
2004-04-30,67,17,48,51,41,21,18,46,20,29,358
2004-07-31,65,15,45,47,34,14,18,23,26,24,311
2004-10-31,54,17,40,38,31,14,8,33,24,20,279
2005-01-31,53,23,47,49,27,15,4,41,19,32,310
2005-04-30,63,26,44,56,31,25,12,33,16,34,340
2005-07-31,72,19,44,41,35,14,5,35,25,23,313
2005-10-31,82,17,58,48,45,13,10,42,22,36,373
2006-01-31,52,18,55,51,29,13,13,25,33,32,321
2006-04-30,60,18,51,47,27,14,22,32,32,32,335
2006-07-31,71,23,40,49,31,16,10,29,33,38,340
2006-10-31,58,23,55,50,34,17,9,40,23,19,328
2007-01-31,59,16,43,54,39,16,8,26,22,23,306
2007-04-30,49,20,46,47,42,18,8,49,20,19,318
2007-07-31,61,20,49,47,30,9,16,36,24,27,319
2007-10-31,70,23,56,50,20,15,11,42,29,40,356
2008-01-31,70,18,41,49,23,15,9,39,34,37,335
2008-04-30,61,22,52,45,25,12,12,46,20,31,326
2008-07-31,71,19,54,47,45,13,9,38,30,28,354
2008-10-31,67,24,57,68,42,16,8,33,23,55,393
2009-01-31,47,12,54,44,37,14,16,37,29,56,346
2009-04-30,69,13,63,63,38,23,18,54,33,54,428
2009-07-31,63,25,51,40,24,13,10,43,13,37,319
2009-10-31,85,17,48,38,40,19,15,43,9,34,348
2010-01-31,82,14,48,44,33,10,13,55,29,39,367
2010-04-30,88,17,63,34,32,12,13,43,18,20,340
2010-07-31,64,8,52,59,27,6,9,63,17,27,332
2010-10-31,47,17,26,54,30,13,19,37,23,43,309
2011-01-31,50,12,29,49,29,19,18,56,38,24,324
2011-04-30,68,14,42,40,20,14,9,49,33,18,307
2011-07-31,68,16,39,57,36,11,11,49,16,30,333
2011-10-31,79,18,59,56,30,19,17,49,9,37,373
2012-01-31,58,33,41,46,31,21,15,54,23,17,339
2012-04-30,61,14,40,41,41,9,19,46,20,29,320
2012-07-31,95,26,50,69,26,19,10,32,21,39,387
2012-10-31,80,29,55,73,33,17,10,62,21,25,405
2013-01-31,57,17,47,49,24,21,14,50,37,34,350
2013-04-30,100,12,38,61,30,12,17,51,21,37,379
2013-07-31,76,17,35,95,25,14,18,67,20,37,404
2013-10-31,82,14,37,63,33,11,16,61,22,40,379
2014-01-31,83,33,40,82,37,10,6,53,16,35,395
2014-04-30,104,19,51,44,48,19,11,37,26,46,405
2014-07-31,100,23,40,83,43,15,10,43,10,41,408
2014-10-31,67,28,48,75,38,11,7,70,20,34,398
2015-01-31,70,25,39,85,26,18,7,53,20,31,374
2015-04-30,73,31,56,87,33,5,9,74,14,44,426
2015-07-31,88,35,29,71,34,10,16,52,11,40,386
2015-10-31,91,16,57,100,38,13,8,72,14,34,443
