,BAYVIEW,CENTRAL,INGLESIDE,MISSION,NORTHERN,PARK,RICHMOND,SOUTHERN,TARAVAL,TENDERLOIN,ALL
2004-01-31,1776,1107,1725,1702,1548,687,645,1958,1027,1207,13382
2005-01-31,1642,1159,1549,1761,1482,696,574,1878,970,1073,12784
2006-01-31,1368,1039,1350,1665,1361,603,490,1745,872,1123,11616
2007-01-31,1566,1097,1396,1743,1437,589,507,1915,923,1288,12461
2008-01-31,1515,1122,1522,1750,1309,505,515,1989,859,1466,12552
2009-01-31,1499,1235,1385,1969,1367,562,532,1855,883,1393,12680
2010-01-31,1594,1147,1363,1751,1296,578,531,1814,831,1346,12251
2011-01-31,1585,1117,1398,1677,1215,507,528,2193,932,1284,12436
2012-01-31,1676,1128,1335,1675,1250,478,515,2145,869,1219,12290
2013-01-31,1588,1115,1359,1906,1228,501,502,1981,883,1051,12114
2014-01-31,1621,1100,1311,2047,1352,532,473,2062,796,1306,12600
2015-01-31,1490,1209,1380,1906,1330,518,437,2084,779,1362,12495
