,BAYVIEW,CENTRAL,INGLESIDE,MISSION,NORTHERN,PARK,RICHMOND,SOUTHERN,TARAVAL,TENDERLOIN,ALL
2004-01-31,31,123,42,78,55,64,21,134,21,69,638
2005-01-31,35,103,37,109,65,80,18,115,15,39,616
2006-01-31,46,85,27,107,61,60,19,100,94,30,629
2007-01-31,40,89,42,110,80,59,15,137,79,39,690
2008-01-31,33,83,30,170,59,58,23,134,52,44,686
2009-01-31,21,99,29,157,61,50,19,173,44,64,717
2010-01-31,30,85,36,104,59,103,28,175,43,123,786
2011-01-31,33,72,32,110,52,51,31,165,36,122,704
2012-01-31,62,70,30,114,39,48,24,157,37,76,657
2013-01-31,61,75,24,103,31,56,32,149,37,71,639
2014-01-31,55,68,36,163,60,54,27,328,39,136,966
2015-01-31,33,83,37,150,46,32,25,113,32,58,609
