,BAYVIEW,CENTRAL,INGLESIDE,MISSION,NORTHERN,PARK,RICHMOND,SOUTHERN,TARAVAL,TENDERLOIN,ALL
2003-07-31,47,84,37,98,77,31,34,200,26,68,702
2004-01-31,44,90,43,92,74,29,16,205,38,57,688
2004-07-31,59,96,35,95,83,22,16,128,38,46,618
2005-01-31,47,89,29,91,46,24,16,139,27,54,562
2005-07-31,69,82,32,59,55,26,21,82,31,46,503
2006-01-31,65,85,23,65,59,24,23,93,33,66,536
2006-07-31,50,82,28,73,60,19,16,120,35,44,527
2007-01-31,72,67,30,98,51,37,11,123,34,59,582
2007-07-31,128,68,43,102,82,25,20,107,36,41,652
2008-01-31,79,57,43,92,45,26,17,85,34,76,554
2008-07-31,43,75,31,72,38,18,31,83,33,118,542
2009-01-31,39,74,27,85,61,19,13,93,34,154,599
2009-07-31,40,46,31,89,46,21,18,96,29,180,596
2010-01-31,55,46,34,91,50,33,14,110,25,151,609
2010-07-31,45,48,29,53,34,28,16,109,24,210,596
2011-01-31,57,60,29,72,38,29,18,114,18,122,557
2011-07-31,35,58,35,41,40,20,14,97,32,141,513
2012-01-31,36,78,23,65,69,15,32,101,28,132,579
2012-07-31,36,85,27,75,101,21,19,119,36,152,671
2013-01-31,45,68,24,67,82,36,14,113,30,117,596
2013-07-31,34,70,38,67,95,29,20,146,40,89,628
2014-01-31,38,86,26,73,54,28,20,104,39,45,513
2014-07-31,60,105,23,79,75,22,18,100,28,52,562
2015-01-31,43,89,29,125,65,26,21,100,43,58,599
2015-07-31,38,106,26,105,96,23,23,132,34,52,635
