,ARSON,ASSAULT,BAD CHECKS,BRIBERY,BURGLARY,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG-NARCOTIC,DRUNKENNESS,EMBEZZLEMENT,EXTORTION,FAMILY OFFENSES,FORGERY-COUNTERFEITING,FRAUD,GAMBLING,KIDNAPPING,LARCENY-THEFT,LIQUOR LAWS,LOITERING,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PORNOGRAPHY-OBSCENE MAT,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,RUNAWAY,SECONDARY CODES,"SEX OFFENSES, FORCIBLE","SEX OFFENSES, NON FORCIBLE",STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,TREA,TRESPASS,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS,ALL,averageListingPrice,alp_allsf
2005-01-31,85,1642,6,12,695,28,14,1082,35,21,4,27,172,160,1,48,1411,24,23,612,1073,2848,0,16,0,404,29,215,69,4,57,4,578,0,106,799,2199,999,239,15741,,
2006-01-31,66,1368,8,4,775,61,13,794,46,17,3,16,169,158,1,41,1689,3,22,723,907,2591,0,16,20,420,51,163,64,3,41,8,569,0,134,878,2189,782,269,15082,,
2007-01-31,76,1566,5,9,735,29,20,822,40,19,2,13,208,145,3,54,1321,23,5,910,835,2660,0,13,246,540,44,255,60,7,46,9,650,0,122,858,898,694,248,14190,,
2008-01-31,72,1515,7,5,710,19,40,784,33,24,3,7,244,130,5,57,1494,24,10,876,770,2472,1,16,215,612,24,254,63,3,56,3,611,0,207,912,781,749,250,14058,,
2009-01-31,71,1499,4,8,689,21,37,595,21,14,2,11,185,144,5,56,1435,15,11,1056,743,2868,1,9,202,632,32,244,73,5,38,9,590,0,82,974,798,484,246,13909,,
2010-01-31,43,1594,8,10,700,41,32,719,30,26,8,9,157,121,0,64,1384,19,4,780,770,3046,0,7,144,445,47,308,49,2,38,3,574,0,95,1036,668,481,299,13761,,
2011-01-31,69,1585,6,8,599,40,25,665,33,10,3,11,55,130,2,37,1577,17,2,1086,835,2793,1,7,148,414,46,303,78,7,66,7,748,1,102,1088,659,575,249,14087,,
2012-01-31,49,1676,3,13,544,18,28,654,62,16,4,6,44,139,9,43,1463,22,2,1113,957,2677,0,6,149,335,73,350,72,4,74,3,814,0,71,872,680,632,273,13950,,
2013-01-31,56,1588,3,10,626,22,37,689,61,16,2,9,80,150,9,38,1868,22,1,897,1250,2568,0,7,157,422,86,300,79,3,90,3,698,1,81,897,781,628,293,14528,,
2014-01-31,41,1621,2,10,530,27,51,578,55,15,4,11,60,154,1,79,2243,18,3,556,1463,2685,1,10,141,376,12,348,70,4,117,5,744,0,72,786,852,673,341,14759,,
