,ARSON,ASSAULT,BAD CHECKS,BRIBERY,BURGLARY,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC,DRUNKENNESS,EMBEZZLEMENT,EXTORTION,FAMILY OFFENSES,FORGERY/COUNTERFEITING,FRAUD,GAMBLING,KIDNAPPING,LARCENY/THEFT,LIQUOR LAWS,LOITERING,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PORNOGRAPHY/OBSCENE MAT,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,RUNAWAY,SECONDARY CODES,"SEX OFFENSES, FORCIBLE","SEX OFFENSES, NON FORCIBLE",STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,TREA,TRESPASS,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS,averageListingPrice,alp_allsf
2003-02-28,3,113,1,1,53,18,3,222,13,0,0,1,28,22,0,1,230,11,3,34,149,368,0,63,0,26,3,8,6,0,3,1,35,0,9,59,117,120,12,,
2003-03-31,3,173,2,0,80,17,2,137,5,3,0,1,32,26,0,4,294,4,1,34,171,273,0,10,0,40,4,21,9,1,12,2,38,0,17,94,193,86,12,,
2003-04-30,0,148,1,0,69,12,3,166,6,1,0,1,34,30,0,2,268,4,3,40,185,240,0,50,0,47,7,10,9,0,9,0,38,0,26,62,165,123,10,,
2003-05-31,3,138,0,0,66,11,2,179,6,2,0,1,32,18,0,2,203,7,4,31,155,283,0,71,0,51,1,17,10,0,10,1,41,0,24,60,148,123,16,,
2003-06-30,1,130,2,0,60,16,2,166,6,1,1,2,21,28,0,1,203,3,2,34,155,298,0,67,0,49,3,7,7,0,10,0,39,0,14,72,182,125,15,,
2003-07-31,3,145,0,0,57,18,5,183,5,0,0,0,24,29,0,7,194,3,3,29,141,306,0,40,0,36,1,6,14,0,7,0,46,0,8,55,155,133,8,,
2003-08-31,1,118,2,1,53,10,4,209,6,2,0,0,27,44,0,6,200,5,4,45,164,331,0,50,0,39,1,14,9,1,8,1,53,0,8,61,204,131,16,,
2003-09-30,1,159,0,0,41,21,4,188,6,1,0,4,17,35,0,6,249,6,2,31,139,299,1,86,0,39,2,16,6,0,8,3,56,0,11,52,213,119,19,,
2003-10-31,5,192,0,0,56,23,1,139,11,5,0,0,27,25,0,3,255,6,0,40,169,325,0,86,0,52,4,24,10,1,8,0,37,0,16,67,237,111,23,,
2003-11-30,0,147,1,0,49,15,4,137,4,0,0,1,15,28,0,3,242,3,0,38,143,372,0,51,0,41,1,18,8,0,6,0,35,0,20,54,163,82,7,,
2003-12-31,1,128,1,2,46,9,3,139,6,0,0,4,19,22,0,1,197,2,0,31,174,255,0,42,0,41,1,12,11,0,11,1,50,0,20,56,168,88,21,,
