,ARSON,ASSAULT,BAD CHECKS,BRIBERY,BURGLARY,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC,DRUNKENNESS,EMBEZZLEMENT,EXTORTION,FAMILY OFFENSES,FORGERY/COUNTERFEITING,FRAUD,GAMBLING,KIDNAPPING,LARCENY/THEFT,LIQUOR LAWS,LOITERING,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PORNOGRAPHY/OBSCENE MAT,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,RUNAWAY,SECONDARY CODES,"SEX OFFENSES, FORCIBLE","SEX OFFENSES, NON FORCIBLE",STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,TREA,TRESPASS,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS,averageListingPrice,alp_allsf
2003-04-30,54,3297,34,6,1571,228,71,2529,175,71,11,32,578,844,4,74,6878,79,74,980,3293,5104,2,462,0,834,89,291,168,12,197,22,1048,0,357,1643,3942,2266,343,,
2003-07-31,101,3286,32,3,1499,203,64,2406,172,54,11,27,603,840,8,66,6699,72,36,889,3351,5155,0,469,0,766,101,276,184,6,212,24,1030,0,345,1641,3780,2255,252,,
2003-10-31,70,3606,36,10,1495,235,66,2558,146,51,14,28,585,830,8,111,6657,84,48,888,3375,5650,1,520,0,823,91,369,164,6,208,21,1103,0,351,1641,4095,2454,343,,
2004-01-31,74,3193,36,10,1524,201,76,2391,145,49,14,32,576,738,7,73,6158,69,13,931,3180,5425,0,511,0,777,75,326,173,6,180,26,1005,0,337,1502,3743,2077,331,,
2004-04-30,67,3450,23,15,1656,218,65,2618,167,50,7,23,559,783,4,87,5967,98,51,1025,3326,5473,0,376,0,852,129,363,200,8,154,22,1087,0,317,1633,4330,2280,358,,
2004-07-31,73,3201,16,9,1688,230,61,2306,169,48,14,23,553,725,6,73,6662,89,81,921,3544,5549,0,347,0,863,120,335,192,8,185,24,1106,0,301,1702,4523,2090,311,,
2004-10-31,73,3220,13,8,1643,198,62,2563,150,48,18,37,566,610,6,56,6137,81,50,856,3516,4895,2,386,0,843,96,325,145,8,152,22,1180,0,292,1616,4478,1855,279,,
2005-01-31,59,2913,21,5,1930,187,56,2278,130,64,9,26,627,612,7,57,5657,76,95,771,3471,4233,1,311,0,856,95,314,155,5,142,33,1166,0,270,1497,4867,1622,310,,
2005-04-30,60,2799,20,2,1752,180,52,2270,131,49,8,14,582,621,11,66,5689,72,84,859,3477,4681,4,331,0,767,115,247,172,9,127,20,1207,0,231,1628,4436,1768,340,,
2005-07-31,59,2979,27,14,1899,159,39,1906,171,44,10,11,529,593,8,77,6741,62,58,956,3630,4408,0,225,0,879,98,249,155,7,146,25,1108,0,272,1923,4413,1647,313,,
2005-10-31,55,3000,25,14,1652,168,52,2207,165,36,12,14,513,612,5,71,6772,65,58,939,3660,4488,1,326,0,1031,85,252,150,3,128,16,1190,0,274,1830,4616,1693,373,,
2006-01-31,60,2838,33,8,1597,139,68,2084,162,72,9,27,581,671,4,68,6430,67,47,1044,3283,4452,0,188,108,936,70,258,163,6,138,18,1192,0,262,1740,3653,1610,321,,
2006-04-30,48,3134,26,4,1707,150,63,2212,179,53,12,23,565,701,7,79,6809,46,22,959,3267,4533,0,269,239,1016,74,337,140,8,177,20,1180,0,236,1964,1709,1708,335,,
2006-07-31,65,3326,21,4,1877,96,60,2132,177,53,14,20,596,675,12,75,6825,76,30,1031,3399,4450,2,276,253,1162,92,388,162,11,139,29,1259,0,291,1940,1871,1578,340,,
2006-10-31,78,3246,15,16,1728,151,68,2519,182,49,14,18,553,636,6,83,7090,66,16,1094,3383,4798,3,436,290,1026,120,381,146,5,139,20,1136,0,293,2023,1885,1679,328,,
2007-01-31,48,2755,25,15,1666,124,57,2396,152,74,6,20,623,546,3,82,6256,73,12,1145,3246,4567,1,366,292,885,101,299,150,9,111,24,1218,0,289,1808,1740,1594,306,,
2007-04-30,49,3091,11,13,1284,136,74,2810,166,58,8,24,688,590,14,73,5726,103,40,1048,3126,4970,2,468,214,884,68,405,157,3,127,30,1196,0,324,1825,1385,1906,318,,
2007-07-31,79,3098,23,16,1383,159,47,2309,176,64,15,21,633,553,9,98,6857,94,187,1014,3413,4669,0,436,245,1032,80,304,151,10,135,23,1185,0,328,2025,1497,1579,319,,
2007-10-31,61,3274,15,15,1315,158,97,2609,166,82,13,14,607,618,7,88,7146,102,154,1001,3078,5042,2,515,266,1031,57,415,138,11,140,25,1250,0,271,1933,2018,1784,356,,
2008-01-31,50,3089,13,8,1405,123,109,2872,178,55,7,22,643,585,6,94,6224,105,75,1125,3010,5107,0,501,237,1133,75,379,177,9,111,29,1160,0,283,1777,1556,1801,335,,
2008-04-30,66,3134,16,10,1292,142,90,2974,156,66,13,20,632,568,2,71,6444,116,107,1170,3109,5567,1,389,194,1014,55,335,182,6,104,22,1164,0,252,1863,1540,1622,326,,
2008-07-31,59,3187,20,15,1396,214,100,2793,173,40,18,13,622,658,8,84,6341,177,75,1036,3094,5823,4,449,216,1108,69,371,171,5,120,25,1186,0,290,1803,1397,1390,354,,
2008-10-31,70,3307,17,15,1509,231,100,2974,194,83,11,16,592,672,9,86,6821,99,165,957,3110,6017,0,420,216,1110,64,416,162,7,173,24,1229,0,331,1872,1665,1330,393,,
2009-01-31,57,3052,29,10,1489,255,126,2958,194,67,11,21,566,686,9,111,5971,108,85,999,2954,6596,0,453,208,955,60,456,165,3,135,31,1155,0,268,1718,1477,1267,346,,
2009-04-30,51,3151,14,8,1379,264,163,3301,211,45,54,12,606,597,7,115,6094,115,27,847,3040,6725,0,439,159,797,101,458,143,2,166,22,1222,0,303,1764,1257,1392,428,,
2009-07-31,62,2937,16,10,1348,214,134,2593,200,54,17,17,561,668,9,116,6177,110,13,926,2956,5614,0,302,168,948,82,435,158,1,156,16,1071,0,293,1766,1233,1443,319,839967.798809,839967.798809
2009-10-31,51,3221,16,12,1298,226,142,3310,200,52,7,35,541,638,8,125,7065,98,33,930,3366,6514,0,350,161,954,80,475,196,5,175,25,1212,0,336,2152,1338,1621,348,838433.89443,838433.89443
2010-01-31,57,2942,14,17,1334,232,138,2580,175,49,14,20,504,619,6,121,6433,57,59,1007,3067,5361,0,301,147,845,89,416,195,12,181,16,1085,0,273,2068,1176,1387,367,798370.493938,798370.493938
2010-04-30,44,2969,12,20,1214,231,107,2459,161,43,19,29,300,597,2,61,5396,106,52,1006,2978,5536,2,278,152,805,63,418,183,7,165,20,1302,0,324,1884,1041,1531,340,816067.224205,816067.224205
