,ARSON,ASSAULT,BAD CHECKS,BRIBERY,BURGLARY,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC,DRUNKENNESS,EMBEZZLEMENT,EXTORTION,FAMILY OFFENSES,FORGERY/COUNTERFEITING,FRAUD,GAMBLING,KIDNAPPING,LARCENY/THEFT,LIQUOR LAWS,LOITERING,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PORNOGRAPHY/OBSCENE MAT,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,RUNAWAY,SECONDARY CODES,"SEX OFFENSES, FORCIBLE","SEX OFFENSES, NON FORCIBLE",STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,TREA,TRESPASS,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS,averageListingPrice,alp_allsf
2003-02-28,1,89,0,0,33,7,1,33,7,3,0,1,19,28,1,0,257,1,3,8,129,133,1,8,0,23,0,9,6,0,7,1,46,0,15,33,90,59,9,,
2003-03-31,1,111,4,0,55,7,1,29,9,0,1,0,24,39,0,2,305,0,4,21,112,135,0,4,0,26,0,9,3,0,9,0,31,0,15,54,108,51,6,,
2003-04-30,0,82,2,1,77,6,1,41,13,1,2,0,27,44,0,3,301,7,3,13,119,95,0,7,0,32,0,19,8,0,7,0,29,0,13,42,119,55,2,,
2003-05-31,0,70,2,0,96,15,2,27,8,2,1,0,32,44,0,4,298,3,0,19,118,118,0,13,0,20,0,9,8,0,3,0,40,0,10,40,81,40,2,,
2003-06-30,1,88,1,0,77,8,1,10,9,2,1,1,13,36,0,0,324,5,1,13,117,116,0,4,0,22,0,6,4,0,8,0,30,0,16,46,67,41,4,,
2003-07-31,0,108,1,0,52,8,3,23,13,2,0,2,23,49,0,2,305,1,2,17,138,121,0,3,0,20,0,5,5,0,6,1,34,0,15,49,104,53,5,,
2003-08-31,1,90,2,0,59,11,2,21,7,1,1,0,23,41,0,1,362,7,1,23,177,135,0,2,0,25,2,12,3,0,8,1,44,0,13,52,123,72,6,,
2003-09-30,0,92,1,0,49,12,1,33,9,4,2,1,15,41,0,0,285,0,1,11,119,133,0,3,0,19,0,9,3,0,9,2,27,0,22,48,95,54,5,,
2003-10-31,0,103,1,0,88,7,3,28,14,2,2,1,27,33,0,3,285,4,4,11,140,153,0,9,0,20,0,6,3,0,5,0,35,0,18,49,100,48,4,,
2003-11-30,0,102,1,0,64,10,3,24,10,3,1,0,19,32,0,0,256,0,0,17,114,112,0,0,0,19,0,11,3,0,7,2,31,0,15,42,84,47,15,,
2003-12-31,2,79,0,0,62,10,1,29,10,2,2,2,24,37,1,0,258,5,0,33,106,90,0,13,0,14,0,9,4,0,4,1,34,0,13,41,112,40,6,,
2004-01-31,0,93,2,0,75,13,1,33,14,5,3,0,21,35,0,2,264,5,0,25,137,153,0,31,0,18,1,9,6,0,3,3,34,0,9,63,95,51,6,,
2004-02-29,1,85,0,1,58,18,4,25,15,0,0,0,24,35,3,1,263,6,1,14,113,125,0,14,0,16,0,7,2,0,1,0,24,0,10,28,96,38,7,,
2004-03-31,0,92,3,0,79,26,1,36,6,3,2,0,30,36,0,1,244,3,1,15,149,138,0,4,0,24,0,14,5,0,7,1,32,0,14,54,126,59,6,,
2004-04-30,1,100,0,0,66,5,1,27,7,5,0,1,25,29,0,1,248,7,0,17,121,116,0,16,0,25,1,11,7,0,5,1,31,0,23,45,143,51,4,,
2004-05-31,0,92,1,0,63,8,1,29,13,1,0,0,23,29,0,4,262,3,1,17,145,119,0,7,0,22,0,6,7,0,3,1,29,0,14,43,143,58,7,,
2004-06-30,5,83,1,0,83,14,1,25,9,2,1,0,20,43,1,1,315,3,0,13,132,137,0,7,0,28,1,12,4,0,4,0,28,0,20,53,123,53,5,,
2004-07-31,2,113,1,0,86,8,0,25,12,3,0,0,16,33,0,3,307,1,0,20,152,124,0,14,0,24,0,7,4,1,6,0,30,0,15,54,143,54,3,,
2004-08-31,0,86,0,0,79,4,0,14,4,1,3,0,17,26,0,2,260,0,0,15,149,92,0,26,0,23,1,4,2,0,8,2,42,0,12,50,115,44,3,,
2004-09-30,1,91,0,0,67,7,4,26,10,2,1,0,23,26,0,0,246,1,1,17,143,109,0,27,0,23,0,8,3,0,2,0,36,0,17,45,100,40,7,,
2004-10-31,3,132,0,0,65,28,0,32,11,3,0,2,22,30,0,2,267,1,0,18,150,110,0,10,0,18,0,10,5,0,4,0,43,0,18,44,99,46,7,,
2004-11-30,0,99,1,0,72,13,2,24,5,3,2,0,22,28,0,0,271,3,1,17,134,96,0,4,0,22,0,4,8,0,1,1,30,0,7,51,85,40,7,,
2004-12-31,2,90,3,0,85,7,0,28,1,5,0,0,35,23,0,2,293,0,0,8,126,104,0,3,0,25,1,12,4,0,8,3,49,0,14,62,130,32,9,,
2005-01-31,0,96,1,0,79,10,1,19,10,7,0,0,14,28,2,2,280,1,5,10,142,105,0,5,0,22,1,9,7,0,1,1,30,0,21,54,106,51,7,,
2005-02-28,0,75,1,0,77,8,1,14,5,2,0,1,17,18,2,3,255,2,3,14,111,89,0,7,0,25,0,10,4,0,8,0,22,0,8,52,110,33,11,,
2005-03-31,0,87,3,0,75,11,1,29,6,2,1,0,24,22,0,2,298,7,5,20,157,104,0,8,0,21,0,6,8,0,3,0,30,0,9,63,111,31,7,,
2005-04-30,0,88,0,0,71,9,0,11,7,5,1,0,26,31,1,0,257,1,0,16,153,110,0,11,0,20,1,5,6,0,2,0,30,0,19,48,129,44,8,,
2005-05-31,0,81,0,0,115,7,0,16,8,2,0,1,11,26,1,0,295,0,0,16,151,98,0,6,0,33,3,5,4,0,6,1,28,0,16,50,162,39,9,,
2005-06-30,1,87,1,0,82,5,2,16,4,1,1,0,20,32,1,1,328,0,4,9,126,87,0,14,0,26,1,9,0,0,5,1,33,0,11,50,113,34,7,,
2005-07-31,1,93,1,0,104,8,2,12,7,1,0,0,14,16,0,1,345,1,1,13,155,106,0,5,0,25,1,5,4,0,4,1,34,0,19,53,107,31,3,,
2005-08-31,3,69,0,1,65,5,0,16,7,2,1,0,13,22,0,1,349,0,8,12,174,93,0,44,0,32,0,8,2,0,5,0,28,0,16,60,131,31,7,,
2005-09-30,3,84,1,0,59,9,0,10,8,0,3,1,16,20,1,0,292,0,1,18,148,72,0,28,0,22,0,4,5,0,6,1,30,0,11,82,123,37,6,,
2005-10-31,0,87,1,0,72,6,0,12,9,2,2,2,11,21,0,1,303,1,0,18,129,81,0,19,0,28,1,9,2,0,4,0,35,0,21,81,121,32,4,,
2005-11-30,0,99,2,0,58,3,0,10,5,0,0,0,17,23,0,3,258,1,0,20,125,68,0,4,0,24,0,6,7,0,3,1,33,0,7,58,124,30,5,,
2005-12-31,0,99,0,0,76,2,2,10,5,1,0,0,21,33,0,1,284,2,1,20,138,69,0,9,0,21,0,12,4,0,7,1,35,0,12,46,88,25,2,,
2006-01-31,2,90,1,0,86,2,0,17,14,5,0,1,20,29,1,1,304,3,3,12,144,98,0,9,8,30,0,7,8,0,5,0,36,0,18,62,42,29,11,,
2006-02-28,2,83,0,0,66,5,3,23,7,4,1,1,18,39,1,3,301,0,0,11,132,91,0,4,6,26,2,10,6,0,5,0,36,0,16,61,49,37,4,,
2006-03-31,0,97,1,0,75,9,3,13,8,2,0,1,21,29,1,2,348,0,0,13,147,113,0,6,6,29,1,8,1,0,6,0,27,0,13,69,50,30,7,,
2006-04-30,2,116,3,0,74,7,1,18,13,2,1,0,13,28,1,1,339,0,0,14,138,116,0,9,3,35,0,9,5,0,3,0,38,0,9,87,46,36,7,,
2006-05-31,1,97,1,0,87,2,1,27,5,2,1,0,10,30,0,0,339,0,0,14,124,127,0,9,1,34,0,11,4,0,5,0,26,0,19,63,46,37,2,,
2006-06-30,1,91,2,0,63,8,1,14,0,2,1,0,16,31,4,2,351,0,1,19,123,102,0,6,6,24,0,14,2,0,3,1,39,0,14,58,59,38,5,,
2006-07-31,1,99,2,0,97,8,0,10,6,3,0,1,27,28,2,3,313,3,0,10,162,97,0,5,8,40,0,6,14,0,3,0,31,0,11,58,47,29,16,,
2006-08-31,1,106,0,0,69,5,4,23,5,0,0,0,15,32,0,3,350,0,1,25,142,90,0,38,7,33,1,11,2,0,1,0,25,0,7,63,61,37,3,,
2006-09-30,1,72,1,0,88,5,2,26,13,1,0,0,15,21,0,1,339,2,0,30,136,103,0,23,5,28,2,8,3,0,4,4,35,0,5,64,38,41,9,,
2006-10-31,1,77,2,0,53,3,1,18,13,3,2,0,22,18,0,2,347,3,1,17,130,114,0,17,8,17,1,10,6,0,6,3,45,0,14,48,53,28,11,,
2006-11-30,0,74,0,0,71,3,1,18,6,3,0,0,21,19,0,2,249,1,0,14,109,95,1,20,3,19,2,2,2,0,0,1,40,0,11,47,42,28,3,,
2006-12-31,1,74,1,0,62,4,3,21,9,3,1,0,26,20,0,2,285,4,1,16,122,81,0,21,2,19,0,6,4,0,4,0,42,0,18,44,50,28,6,,
2007-01-31,0,111,4,0,50,8,1,33,4,7,0,0,32,26,0,0,306,3,1,24,112,106,0,8,6,17,2,15,7,1,1,1,29,0,12,71,50,45,7,,
2007-02-28,0,73,0,1,26,10,1,23,6,8,1,0,17,26,0,4,241,3,1,14,128,81,0,13,1,28,1,8,4,0,4,2,34,0,9,43,49,30,10,,
2007-03-31,0,85,0,0,44,6,2,25,6,2,0,1,31,28,1,2,358,2,0,23,145,130,0,27,5,26,0,13,10,0,4,0,32,0,7,71,65,46,7,,
2007-04-30,1,93,0,0,60,11,3,13,4,0,1,0,15,27,0,1,370,3,0,4,126,87,0,49,3,19,1,7,4,0,6,0,34,0,14,54,49,47,3,,
2007-05-31,4,81,3,1,45,14,1,23,5,4,1,0,20,26,0,1,346,0,8,17,155,95,0,31,4,28,1,7,5,0,3,0,35,0,16,73,29,35,10,,
2007-06-30,2,92,1,0,56,8,1,20,10,2,1,0,30,17,2,3,293,0,8,18,130,103,0,20,3,28,0,9,4,0,3,0,41,0,10,71,48,24,6,,
2007-07-31,2,98,1,1,85,7,0,20,5,1,1,1,25,25,0,6,426,0,0,18,133,107,0,20,4,32,1,7,5,0,4,0,40,0,12,69,72,26,4,,
2007-08-31,2,106,1,0,47,7,1,14,6,6,0,1,22,27,2,1,356,0,1,17,128,86,0,38,4,31,1,1,6,0,1,0,37,0,11,78,74,47,8,,
2007-09-30,4,95,1,1,46,11,3,31,4,5,1,0,18,20,0,2,316,1,4,22,106,99,1,55,3,30,0,7,4,0,5,1,31,0,8,57,62,26,7,,
2007-10-31,1,97,0,0,59,4,3,42,9,6,1,0,17,32,0,4,335,0,0,15,119,113,0,31,4,31,0,10,4,0,4,1,36,0,14,68,52,56,8,,
2007-11-30,2,85,1,0,54,2,1,39,8,5,0,1,23,22,2,2,264,5,4,8,114,116,0,51,6,37,0,8,4,1,0,4,32,0,9,62,40,42,6,,
2007-12-31,1,105,0,0,62,6,2,21,10,1,0,0,20,22,1,4,293,5,9,16,123,114,0,50,5,24,0,13,7,0,0,0,30,0,7,41,47,35,8,,
2008-01-31,1,112,1,0,58,3,4,29,10,3,1,0,25,16,0,2,301,1,1,19,136,117,0,33,5,30,0,19,1,0,1,2,32,0,8,44,40,39,4,,
2008-02-29,2,97,1,1,36,4,1,35,5,6,1,0,12,24,0,1,238,4,0,18,134,97,0,33,5,20,0,12,6,0,1,1,44,0,10,66,41,36,6,,
2008-03-31,1,122,2,1,44,5,1,30,4,1,0,0,21,18,0,2,309,2,3,23,129,106,0,29,1,32,0,16,2,0,1,2,25,0,12,64,45,36,8,,
2008-04-30,1,93,0,0,45,4,1,19,6,5,1,0,22,28,0,1,367,0,0,24,123,91,0,38,4,27,0,6,3,0,0,0,44,0,11,72,24,30,8,,
2008-05-31,1,92,2,0,46,9,3,35,7,2,0,0,19,31,0,3,288,4,0,8,119,116,0,17,5,30,1,13,5,0,5,1,35,0,11,55,43,39,5,,
2008-06-30,1,109,0,0,62,4,0,22,5,3,2,1,31,33,1,1,255,0,1,18,112,107,0,15,3,30,0,9,5,0,6,1,35,0,12,52,34,29,6,,
2008-07-31,1,107,0,0,55,12,0,48,13,3,0,0,24,33,1,2,347,0,0,18,137,139,0,36,6,35,1,7,4,0,4,0,40,0,19,61,30,42,8,,
2008-08-31,5,118,2,1,51,5,1,35,10,2,1,0,16,30,0,4,328,2,3,13,136,122,0,24,4,18,1,9,3,0,6,1,36,0,16,57,41,20,6,,
2008-09-30,2,99,1,0,64,10,3,42,6,2,0,1,19,52,1,5,338,1,2,15,139,128,0,19,7,28,0,5,12,0,7,0,41,0,7,62,58,25,10,,
2008-10-31,0,110,0,1,57,6,5,35,9,26,0,0,31,35,0,1,415,0,1,14,139,134,0,33,11,38,0,9,2,0,7,0,46,0,15,70,47,33,8,,
2008-11-30,4,95,0,0,79,7,7,39,11,2,0,0,17,27,0,2,357,1,2,20,113,172,0,16,4,30,0,14,2,0,8,0,27,0,11,46,34,30,5,,
2008-12-31,2,96,2,0,64,3,2,32,8,4,0,0,21,29,1,4,333,2,1,24,129,151,0,12,6,19,0,10,3,0,3,0,30,0,11,50,52,23,2,,
2009-01-31,2,97,5,0,52,6,1,34,15,5,1,0,15,23,0,4,308,5,0,18,111,137,0,3,5,32,1,9,1,0,4,1,46,0,14,53,57,28,5,,
2009-02-28,2,103,0,1,44,4,2,34,5,4,1,0,25,18,0,5,268,1,1,9,108,129,0,11,0,21,0,10,5,0,3,1,32,0,6,51,44,16,3,,
2009-03-31,1,99,0,0,51,6,5,52,10,0,9,0,19,23,1,7,311,5,1,8,108,195,0,4,7,14,0,16,6,0,7,3,26,0,12,55,49,30,4,,
2009-04-30,1,81,0,0,67,1,3,37,3,1,13,1,15,22,2,4,305,2,0,11,123,157,0,12,3,31,0,4,1,0,2,1,37,0,5,52,27,27,6,,
2009-05-31,2,88,0,0,45,5,7,30,6,2,3,0,25,25,0,2,293,1,0,4,125,157,0,2,6,19,0,7,7,0,6,1,26,0,5,48,45,26,8,,
2009-06-30,0,95,0,0,46,6,8,27,9,3,1,0,18,25,1,6,294,3,0,9,113,125,0,8,2,15,0,14,7,0,6,2,27,0,11,52,32,39,8,,
2009-07-31,3,71,1,0,70,1,14,11,12,0,1,0,12,24,0,4,387,5,0,20,160,146,0,11,2,23,0,10,2,0,4,0,35,0,7,67,37,32,9,1131406.99902,839967.798809
2009-08-31,0,125,1,0,55,11,4,26,10,4,0,0,24,23,1,1,345,1,2,13,141,154,0,12,4,20,0,18,8,0,6,2,32,0,4,68,21,28,7,1129829.2268,832936.293889
2009-09-30,3,123,0,0,45,4,8,42,7,4,0,1,14,28,2,2,331,3,1,9,141,173,0,24,6,29,1,17,4,0,4,0,29,0,11,62,32,31,4,1217970.56364,840157.314425
2009-10-31,1,97,0,0,46,5,13,47,7,2,2,1,13,25,1,3,338,1,0,15,131,151,0,13,1,24,1,9,5,0,3,0,37,0,5,68,28,35,6,1257462.64702,842552.758976
2009-11-30,1,100,1,1,57,6,2,29,6,0,1,0,17,32,0,2,340,0,0,9,110,118,0,7,5,29,0,7,3,0,10,0,32,0,15,54,32,26,6,1096171.69298,799485.480018
2009-12-31,0,80,1,1,45,6,8,27,3,3,2,1,14,24,1,3,359,0,0,12,148,100,0,3,1,15,1,13,4,0,7,1,18,0,5,63,30,14,5,1075211.63701,795524.36458
2010-01-31,1,85,2,0,49,6,2,22,7,1,1,0,13,26,2,4,274,0,3,20,138,117,0,3,4,19,1,13,4,0,5,0,30,0,6,53,26,30,3,1016314.58914,799755.408562
2010-02-28,0,74,0,1,52,5,1,14,8,1,1,0,14,20,1,4,227,0,0,6,105,152,0,1,2,12,1,7,5,0,4,0,25,0,4,51,41,14,5,1144249.95373,817236.078839
2010-03-31,1,87,0,0,33,3,6,46,10,4,1,1,8,23,0,0,218,2,0,14,104,152,0,0,5,29,0,15,13,0,5,1,41,0,11,38,25,33,3,1143432.73117,824988.104176
2010-04-30,0,89,3,1,47,5,2,12,5,2,1,0,7,22,0,1,242,6,0,8,108,153,0,4,3,37,0,7,2,0,5,1,50,0,20,63,22,39,9,1109287.76071,805977.4896
2010-05-31,1,89,0,0,82,4,5,22,7,0,2,0,4,28,0,0,261,1,0,14,132,174,0,2,2,17,2,7,8,0,4,0,64,0,6,61,26,32,0,1076212.51238,799984.577725
