,ARSON,ASSAULT,BAD CHECKS,BRIBERY,BURGLARY,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC,DRUNKENNESS,EMBEZZLEMENT,EXTORTION,FAMILY OFFENSES,FORGERY/COUNTERFEITING,FRAUD,GAMBLING,KIDNAPPING,LARCENY/THEFT,LIQUOR LAWS,LOITERING,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PORNOGRAPHY/OBSCENE MAT,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,RUNAWAY,SECONDARY CODES,"SEX OFFENSES, FORCIBLE","SEX OFFENSES, NON FORCIBLE",STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,TREA,TRESPASS,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS,averageListingPrice,alp_allsf
2003-07-31,10,767,11,0,423,106,19,406,25,19,3,3,179,246,1,13,2464,14,20,163,819,1045,0,256,0,211,7,62,43,2,61,3,246,0,77,454,1014,503,46,,
2004-01-31,12,781,13,1,472,72,24,356,30,7,0,3,145,235,1,18,2133,5,5,152,772,1164,0,359,0,206,9,74,31,0,48,4,246,0,74,423,890,544,59,,
2004-07-31,13,765,4,1,580,56,24,419,37,12,3,2,162,208,0,28,2149,11,5,184,843,1142,0,257,0,241,8,65,35,1,48,8,250,0,83,419,887,598,75,,
2005-01-31,12,717,5,1,549,50,27,428,28,17,0,6,149,142,2,7,1932,22,35,164,781,939,0,232,0,228,8,70,22,0,39,14,254,0,46,439,1041,402,58,,
2005-07-31,9,669,6,1,560,52,13,340,34,16,1,0,154,175,3,18,2223,15,52,151,793,879,0,154,0,211,17,58,30,0,41,10,218,0,55,474,1081,381,66,,
2006-01-31,16,692,14,1,598,51,25,407,27,10,2,1,121,171,0,22,2619,14,24,172,781,1066,0,208,11,238,12,54,31,0,49,4,261,0,59,513,1100,400,74,,
2006-07-31,9,778,10,1,623,27,24,415,49,11,4,3,150,198,2,12,2720,5,6,176,766,1059,0,106,44,268,13,73,32,2,43,13,263,0,60,558,431,445,58,,
2007-01-31,5,659,4,1,548,34,20,551,31,7,3,3,149,165,1,18,2496,13,3,148,787,1037,2,260,48,229,8,71,32,1,39,8,261,0,51,527,374,419,73,,
2007-07-31,14,641,5,1,434,23,16,493,39,12,3,2,138,140,1,15,2218,8,39,152,715,1028,1,213,40,157,9,72,22,0,33,11,222,0,82,475,282,401,72,,
2008-01-31,9,668,3,0,393,16,24,392,20,17,2,0,121,110,1,15,2322,14,16,156,712,907,0,183,42,201,12,84,32,1,45,11,248,0,45,462,441,328,43,,
2008-07-31,13,694,2,3,441,19,14,391,34,13,3,1,127,135,0,16,2082,20,27,143,688,909,1,202,36,212,14,93,30,1,44,11,238,0,38,456,364,273,70,,
2009-01-31,18,673,5,1,536,32,28,318,27,18,2,2,130,151,1,20,2106,11,49,158,616,1178,0,128,36,233,10,83,33,1,59,7,242,0,61,487,402,265,79,,
2009-07-31,14,675,8,0,470,20,34,415,34,10,3,2,109,143,2,25,2120,11,10,101,655,1157,0,67,30,178,6,106,32,0,66,5,234,0,46,469,294,319,62,837589.288931,839967.798809
2010-01-31,15,621,4,3,461,25,29,379,25,13,0,1,123,140,1,28,1885,13,27,149,758,1073,0,142,20,254,5,94,36,3,65,2,275,0,50,516,288,298,73,828086.56025,819144.109008
2010-07-31,11,574,3,4,472,18,21,435,23,10,3,5,61,158,2,10,1523,8,6,164,665,987,1,129,19,208,5,87,31,4,51,4,230,0,34,433,244,319,59,790014.905971,808816.724307
2011-01-31,9,641,4,0,326,42,16,320,29,8,2,3,53,184,0,24,1803,5,4,145,776,882,1,219,28,185,7,99,41,1,52,4,328,0,38,385,220,288,59,780132.777345,794211.178118
2011-07-31,9,562,1,0,313,44,23,303,15,10,3,1,60,196,1,20,1670,8,1,140,766,936,0,250,24,172,2,82,42,3,46,2,340,0,40,341,228,334,56,777942.313742,810203.585837
2012-01-31,7,688,3,4,407,36,19,271,24,9,4,1,61,180,0,23,1984,4,8,144,879,839,0,51,26,204,2,87,43,0,60,8,361,0,69,374,344,326,61,806479.301976,841625.132546
2012-07-31,9,598,2,2,481,56,18,274,13,10,0,2,52,184,1,17,1796,5,26,171,925,864,0,116,23,222,6,86,55,0,66,4,329,0,101,356,361,295,67,850827.45931,902989.955171
2013-01-31,15,630,2,0,519,51,12,301,18,8,1,1,64,155,0,13,2977,1,11,169,1012,860,0,83,46,266,1,93,40,0,86,5,312,0,82,465,361,321,57,970995.188251,922885.271222
2013-07-31,12,683,3,1,464,23,17,368,37,14,0,1,60,156,0,24,2578,6,7,163,1125,952,0,60,49,245,1,84,45,0,104,0,308,0,95,390,333,371,55,1023858.83365,964309.862443
2014-01-31,19,669,3,0,492,8,12,330,23,13,3,2,55,158,0,20,3090,1,4,173,1082,946,0,54,28,214,2,96,41,0,76,2,276,1,54,404,430,340,70,1078831.37152,1108954.93302
2014-07-31,15,606,1,2,465,11,12,340,21,6,2,2,58,155,0,20,2549,9,1,181,1006,1103,0,22,0,186,7,80,61,1,73,4,283,0,75,385,409,363,91,1115098.98573,1150099.63327
2015-01-31,14,724,2,4,389,20,18,281,25,5,4,1,54,168,0,33,3914,8,1,170,1062,1043,0,4,0,190,5,89,47,0,65,3,276,0,65,462,422,322,64,1259727.00379,1241892.54603
2015-07-31,23,733,3,2,478,26,17,223,22,10,1,1,52,228,1,18,3975,6,3,143,1094,1006,0,27,0,222,2,89,50,2,75,2,261,0,96,448,484,302,67,1213647.97917,1340804.24653
