,ARSON,ASSAULT,BAD CHECKS,BRIBERY,BURGLARY,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC,DRUNKENNESS,EMBEZZLEMENT,EXTORTION,FAMILY OFFENSES,FORGERY/COUNTERFEITING,FRAUD,GAMBLING,KIDNAPPING,LARCENY/THEFT,LIQUOR LAWS,LOITERING,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PORNOGRAPHY/OBSCENE MAT,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,RUNAWAY,SECONDARY CODES,"SEX OFFENSES, FORCIBLE","SEX OFFENSES, NON FORCIBLE",STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,TREA,TRESPASS,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS,averageListingPrice,alp_allsf
2003-07-31,3,548,10,1,390,51,9,163,59,10,5,4,138,240,1,11,1790,17,13,91,733,718,1,39,0,143,0,57,34,0,40,2,210,0,84,264,569,299,28,,
2004-01-31,3,559,7,0,397,63,11,168,64,17,11,4,129,219,1,6,1710,21,6,120,793,776,0,58,0,115,3,56,22,0,36,9,205,0,90,295,609,312,42,,
2004-07-31,9,565,6,1,435,79,8,167,62,14,3,1,138,205,4,11,1639,23,3,96,812,759,0,62,0,139,2,57,29,1,26,3,174,0,96,277,774,313,32,,
2005-01-31,6,594,5,0,447,69,7,143,41,21,6,2,133,161,2,8,1617,6,7,85,844,616,0,75,0,133,3,47,29,0,24,7,230,0,89,306,635,253,40,,
2005-07-31,2,511,6,0,524,48,6,98,37,13,3,2,112,145,5,7,1778,11,13,88,853,594,0,51,0,150,6,40,26,0,28,3,177,0,82,316,732,212,45,,
2006-01-31,8,528,5,1,416,27,2,75,48,10,6,4,98,148,2,7,1790,7,13,100,858,481,0,113,8,157,1,46,28,0,30,3,197,0,85,389,629,184,35,,
2006-07-31,7,583,9,0,462,39,9,105,39,15,4,3,105,185,9,11,1991,3,1,81,826,646,0,39,30,188,3,58,32,0,25,1,197,0,82,396,297,207,41,,
2007-01-31,4,514,8,0,393,28,12,139,50,17,3,0,131,136,0,10,1876,13,4,126,751,589,1,127,31,133,8,52,24,1,16,9,216,0,67,337,294,207,39,,
2007-07-31,9,522,5,3,316,56,8,124,36,17,5,2,138,149,3,17,2034,8,17,94,817,603,0,160,20,161,4,51,32,0,24,2,216,0,68,381,312,208,40,,
2008-01-31,11,600,4,1,326,33,14,176,47,26,3,2,125,139,5,15,1865,12,19,97,726,645,1,258,27,183,1,58,26,1,11,8,198,0,57,350,315,245,41,,
2008-07-31,7,620,5,2,288,38,6,189,40,20,4,1,129,167,2,10,1804,10,4,109,754,656,0,168,24,174,2,63,25,0,17,5,223,0,75,370,217,212,41,,
2009-01-31,15,615,10,2,367,37,19,217,59,41,2,1,119,196,2,20,2079,11,9,104,767,844,0,107,37,165,2,56,23,0,35,2,226,0,74,338,289,159,36,,
2009-07-31,9,537,1,1,323,23,39,191,45,10,28,1,114,137,4,28,1858,17,2,61,737,909,0,48,20,123,0,61,28,0,28,8,183,0,46,325,234,170,38,1131406.99902,839967.798809
2010-01-31,6,610,5,2,297,38,37,193,40,14,6,3,95,158,7,15,1987,5,6,78,809,813,0,62,21,136,4,77,28,0,35,3,178,0,46,368,169,164,31,1132423.9959,819144.109008
2010-07-31,2,542,6,3,318,25,16,148,46,10,8,1,49,170,1,15,1507,13,1,79,715,883,0,11,17,144,5,64,44,0,26,3,272,0,48,331,156,180,25,1106558.21158,808816.724307
2011-01-31,10,575,5,2,280,40,12,125,26,14,4,3,44,162,0,19,1937,19,2,99,921,707,0,34,24,142,1,68,18,1,40,3,292,1,60,362,170,205,29,1148729.51868,794211.178118
2011-07-31,6,547,4,3,256,29,19,80,31,15,3,1,56,151,0,25,1808,5,0,100,908,730,1,20,19,157,1,72,36,0,32,6,285,0,58,357,188,200,30,1142404.21172,810203.585837
2012-01-31,9,581,2,0,288,35,17,104,39,18,3,2,66,183,0,15,1721,8,5,128,944,766,0,5,28,157,6,59,33,2,48,5,293,0,78,343,193,230,51,1234850.67186,841625.132546
2012-07-31,6,554,6,2,293,27,12,123,43,14,2,0,56,184,2,12,1980,5,6,143,956,778,0,3,16,171,3,66,25,0,48,7,345,0,85,372,262,237,40,1344758.6782,902989.955171
2013-01-31,9,561,2,1,383,24,14,94,32,9,5,3,70,192,0,10,2380,0,3,131,937,743,0,9,38,207,2,61,31,0,66,5,282,1,68,463,235,197,46,1193924.50875,922885.271222
2013-07-31,12,523,2,3,342,26,11,95,40,16,1,2,50,182,1,20,2236,12,1,105,999,655,0,18,21,177,1,67,32,1,70,2,257,0,70,390,234,228,29,1206498.02988,964309.862443
2014-01-31,10,577,0,2,412,28,15,158,28,10,3,3,58,282,3,35,2674,4,1,143,1109,790,0,25,23,189,7,47,43,0,90,3,237,0,86,358,211,254,47,1411447.51675,1108954.93302
2014-07-31,6,578,3,2,475,17,16,190,47,13,4,1,37,239,0,19,2643,2,2,144,1146,923,0,92,0,199,3,67,39,1,78,5,226,0,105,402,314,258,42,1561707.06224,1150099.63327
2015-01-31,15,631,3,2,425,19,7,144,36,13,1,2,54,291,2,23,3305,7,2,172,1216,879,0,68,0,234,2,66,52,1,116,5,280,0,89,473,249,286,53,1664675.05826,1241892.54603
2015-07-31,23,674,0,1,383,31,14,112,40,13,1,5,50,291,0,16,3635,9,1,176,1240,832,1,23,0,208,3,79,51,0,73,6,268,0,106,570,308,327,66,1619316.80236,1340804.24653
