,ARSON,ASSAULT,BAD CHECKS,BRIBERY,BURGLARY,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG-NARCOTIC,DRUNKENNESS,EMBEZZLEMENT,EXTORTION,FAMILY OFFENSES,FORGERY-COUNTERFEITING,FRAUD,GAMBLING,KIDNAPPING,LARCENY-THEFT,LIQUOR LAWS,LOITERING,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PORNOGRAPHY-OBSCENE MAT,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,RUNAWAY,SECONDARY CODES,"SEX OFFENSES, FORCIBLE","SEX OFFENSES, NON FORCIBLE",STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,TREA,TRESPASS,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS,ALL,averageListingPrice,alp_allsf
2004-01-31,43,892,7,3,313,29,13,457,15,12,1,11,76,90,2,27,757,8,2,272,483,1538,0,9,0,161,16,127,28,2,20,2,254,0,44,395,1056,521,123,7809,,
2004-07-31,43,872,3,9,326,12,8,627,21,12,2,12,83,70,0,29,692,17,18,339,578,1590,0,3,0,204,14,124,45,2,26,3,296,0,59,422,1111,552,132,8356,,
2005-01-31,42,770,3,3,369,16,6,455,14,9,2,15,89,90,1,19,719,7,5,273,495,1258,0,13,0,200,15,91,24,2,31,1,282,0,47,377,1088,447,107,7385,,
2005-07-31,42,722,4,1,369,17,0,378,18,7,3,7,81,63,1,25,771,2,5,374,463,1280,0,6,0,192,29,84,39,1,25,4,275,0,69,438,1196,412,135,7538,,
2006-01-31,24,646,4,3,406,44,13,416,28,10,0,9,88,95,0,16,918,1,17,349,444,1311,0,10,20,228,22,79,25,2,16,4,294,0,65,440,993,370,134,7544,,
2006-07-31,34,816,2,1,374,14,12,417,27,9,0,6,96,80,2,30,695,11,3,434,438,1154,0,5,121,292,17,141,26,4,29,4,337,0,50,446,451,352,131,7061,,
2007-01-31,42,750,3,8,361,15,8,405,13,10,2,7,112,65,1,24,626,12,2,476,397,1506,0,8,125,248,27,114,34,3,17,5,313,0,72,412,447,342,117,7129,,
2007-07-31,38,733,3,3,351,9,17,374,14,12,2,3,126,58,4,25,729,12,5,408,409,1271,0,9,112,266,12,133,35,1,22,3,314,0,128,457,358,386,110,6952,,
2008-01-31,34,782,4,2,359,10,23,410,19,12,1,4,118,72,1,32,765,12,5,468,361,1201,1,7,103,346,12,121,28,2,34,0,297,0,79,455,423,363,140,7106,,
2008-07-31,34,752,1,3,315,12,18,355,7,9,1,7,82,70,1,25,742,7,2,578,372,1379,1,6,97,330,11,112,39,2,16,2,293,0,43,517,396,269,132,7038,,
2009-01-31,37,747,3,5,374,9,19,240,14,5,1,4,103,74,4,31,693,8,9,478,371,1489,0,3,105,302,21,132,34,3,22,7,297,0,39,457,402,215,114,6871,,
2009-07-31,23,770,4,5,337,16,7,297,14,13,6,3,76,57,0,34,618,7,1,361,365,1326,0,3,78,235,23,145,14,0,19,2,297,0,40,482,326,217,132,6353,617098.64881,839967.798809
2010-01-31,20,824,4,5,363,25,25,422,16,13,2,6,81,64,0,30,766,12,3,419,405,1720,0,4,66,210,24,163,35,2,19,1,277,0,55,554,342,264,167,7408,643075.330351,819144.109008
2010-07-31,34,787,5,6,300,16,16,357,19,3,0,3,28,64,1,13,806,10,0,454,371,1359,0,3,72,180,26,148,26,4,31,5,347,0,45,550,325,253,152,6819,613483.662904,808816.724307
2011-01-31,35,798,1,2,299,24,9,308,14,7,3,8,27,66,1,24,771,7,2,632,464,1434,1,4,76,234,20,155,52,3,35,2,401,1,57,538,334,322,97,7268,560415.585322,794211.178118
2011-07-31,22,853,1,6,239,11,13,331,14,9,1,4,20,73,8,22,633,15,0,673,445,1328,0,3,68,159,42,185,30,2,31,1,404,0,35,462,341,311,136,6931,580410.979261,810203.585837
2012-01-31,27,823,2,7,305,7,15,323,48,7,3,2,24,66,1,21,830,7,2,440,512,1349,0,3,81,176,31,165,42,2,43,2,410,0,36,410,339,321,137,7019,614703.8931,841625.132546
2012-07-31,26,783,0,5,294,10,20,358,19,10,0,2,29,66,4,19,897,8,0,490,615,1298,0,5,74,186,52,144,36,2,39,2,353,0,36,477,329,292,156,7136,640481.040816,902989.955171
2013-01-31,30,805,3,5,332,12,17,331,42,6,2,7,51,84,5,19,971,14,1,407,635,1270,0,2,83,236,34,156,43,1,51,1,345,1,45,420,452,336,137,7392,622909.290619,922885.271222
2013-07-31,25,856,2,5,216,12,27,306,15,9,1,4,25,73,1,43,1037,11,2,270,760,1377,1,1,83,196,6,172,35,3,45,5,387,0,34,422,393,360,176,7396,605168.289454,964309.862443
2014-01-31,16,765,0,5,314,15,24,272,40,6,3,7,35,81,0,36,1206,7,1,286,703,1308,0,9,58,180,6,176,35,1,72,0,357,0,38,364,459,313,165,7363,796237.920649,1108954.93302
2014-07-31,20,768,1,10,236,23,21,240,20,12,0,3,12,77,0,45,982,10,1,298,641,1465,0,3,0,161,9,154,30,1,55,4,333,0,60,369,448,429,204,7145,856104.787255,1150099.63327
2015-01-31,27,722,2,3,257,16,17,213,13,11,1,2,17,61,2,28,1067,4,1,268,582,1259,0,2,0,135,14,165,34,2,38,2,280,0,43,425,503,356,137,6709,1023461.46507,1241892.54603
