,ARSON,ASSAULT,BAD CHECKS,BRIBERY,BURGLARY,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC,DRUNKENNESS,EMBEZZLEMENT,EXTORTION,FAMILY OFFENSES,FORGERY/COUNTERFEITING,FRAUD,GAMBLING,KIDNAPPING,LARCENY/THEFT,LIQUOR LAWS,LOITERING,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PORNOGRAPHY/OBSCENE MAT,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,RUNAWAY,SECONDARY CODES,"SEX OFFENSES, FORCIBLE","SEX OFFENSES, NON FORCIBLE",STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,TREA,TRESPASS,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS,averageListingPrice,alp_allsf
2004-01-31,299,13382,138,29,6089,867,277,9884,638,225,50,119,2342,3252,27,324,26392,304,171,3688,13199,21334,3,1962,0,3200,356,1262,689,30,797,93,4186,0,1390,6427,15560,9052,1269,,
2005-01-31,272,12784,73,37,6917,833,244,9765,616,210,48,109,2305,2730,23,273,24423,344,277,3573,13857,20150,3,1420,0,3414,440,1337,692,29,633,101,4539,0,1180,6448,18198,7847,1258,,
2006-01-31,234,11616,105,38,6900,646,211,8467,629,201,39,66,2205,2497,28,282,25632,266,247,3798,14050,18029,5,1070,108,3613,368,1006,640,25,539,79,4697,0,1039,7121,17118,6718,1347,,
2007-01-31,239,12461,87,39,6978,521,248,9259,690,229,46,81,2337,2558,28,319,26980,261,80,4229,13295,18348,6,1347,1074,4089,387,1405,598,33,566,93,4793,0,1109,7735,7205,6559,1309,,
2008-01-31,239,12552,62,52,5387,576,327,10600,686,259,43,81,2571,2346,36,353,25953,404,456,4188,12627,19788,4,1920,962,4080,280,1503,623,33,513,107,4791,0,1206,7560,6456,7070,1328,,
2009-01-31,252,12680,82,50,5686,842,416,11699,717,256,53,70,2412,2584,28,352,25577,500,432,4162,12267,24003,5,1711,834,4187,248,1578,680,21,532,102,4734,0,1141,7256,6079,5609,1419,,
2010-01-31,221,12251,60,47,5359,936,577,11784,786,200,92,84,2212,2522,30,477,25769,380,132,3710,12429,24214,0,1392,635,3544,352,1784,692,20,678,79,4590,0,1205,7750,5004,5843,1462,,
2011-01-31,215,12436,54,64,4987,824,463,9063,704,152,56,92,992,2661,8,355,24439,318,171,4539,14103,20998,4,1317,619,3336,282,1881,714,27,693,77,6218,2,1153,7895,4319,6253,1305,,
2012-01-31,207,12290,44,52,5016,755,474,6809,657,176,45,60,810,2750,16,413,25997,268,118,4743,15603,19518,3,1015,690,3392,329,1801,765,32,783,81,6168,0,1092,7185,4851,6341,1352,,
2013-01-31,245,12114,51,54,6281,695,410,6437,639,164,34,81,977,2705,21,277,31708,218,143,4417,17364,18544,2,684,749,4034,322,1869,777,25,960,85,5777,2,1267,7769,6278,6341,1462,,
2014-01-31,243,12600,22,69,6307,446,436,6730,966,174,29,79,965,2812,19,553,36421,225,42,4463,21074,19522,5,697,675,4089,206,1980,781,19,1208,71,5686,4,1141,6932,6235,7356,1557,,
2015-01-31,262,12495,35,57,5946,355,392,5252,609,144,33,82,720,2964,9,510,38772,178,35,4727,19354,20762,2,424,0,3497,218,1926,840,17,1082,71,5214,1,1161,7205,7193,6707,1585,,
