,ARSON,ASSAULT,BAD CHECKS,BRIBERY,BURGLARY,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG-NARCOTIC,DRUNKENNESS,EMBEZZLEMENT,EXTORTION,FAMILY OFFENSES,FORGERY-COUNTERFEITING,FRAUD,GAMBLING,KIDNAPPING,LARCENY-THEFT,LIQUOR LAWS,LOITERING,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PORNOGRAPHY-OBSCENE MAT,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,RUNAWAY,SECONDARY CODES,"SEX OFFENSES, FORCIBLE","SEX OFFENSES, NON FORCIBLE",STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,TREA,TRESPASS,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS,ALL,averageListingPrice,alp_allsf
2003-03-31,2,193,3,1,71,23,3,159,9,6,1,3,24,59,1,3,529,5,26,28,220,355,0,2,0,45,2,10,13,0,17,0,50,0,34,88,155,171,10,2321,,
2003-04-30,2,167,4,0,76,10,4,210,15,7,0,0,44,61,0,6,546,6,0,29,240,329,0,1,0,25,0,14,6,0,21,0,47,0,46,73,117,193,13,2312,,
2003-05-31,1,172,3,0,66,8,5,210,24,5,0,3,47,63,1,3,495,3,1,23,219,334,0,1,0,36,3,11,4,0,19,1,49,0,37,44,139,177,8,2215,,
2003-06-30,6,167,2,0,48,4,1,136,6,4,0,1,50,67,0,0,503,8,1,31,211,331,0,1,0,27,6,9,9,0,19,1,42,0,35,63,125,124,8,2046,,
2003-07-31,5,157,3,0,58,3,1,164,13,4,0,0,43,61,0,5,572,7,1,27,241,258,0,4,0,30,6,11,8,0,25,1,36,0,22,72,123,153,10,2124,,
2003-08-31,3,180,0,1,57,6,4,205,7,5,1,0,53,59,0,5,491,4,4,14,262,285,0,1,0,44,2,7,10,1,15,0,42,0,27,73,123,191,18,2200,,
2003-09-30,1,173,3,1,60,13,3,176,10,7,0,4,48,63,2,7,495,8,1,44,235,398,0,1,0,37,2,8,16,0,20,2,52,0,34,67,110,191,14,2306,,
2003-10-31,3,181,4,1,71,22,4,179,15,4,1,0,41,56,0,2,434,7,5,26,198,436,0,0,0,40,3,9,10,0,13,1,52,0,38,70,92,174,9,2201,,
2003-11-30,3,140,4,0,77,21,5,115,10,3,0,1,51,39,0,6,452,2,0,22,201,327,0,1,0,36,4,12,7,0,13,0,43,0,30,52,109,148,12,1946,,
2003-12-31,1,143,4,0,58,10,7,110,8,2,0,0,53,52,0,4,413,0,0,23,194,295,0,1,0,36,1,9,6,0,16,2,52,0,46,69,112,97,10,1834,,
2004-01-31,2,139,1,1,64,10,2,156,9,4,1,5,48,47,1,3,439,10,1,20,220,313,0,1,0,30,1,9,10,1,21,0,35,0,30,47,98,173,10,1962,,
2004-02-29,0,153,1,0,48,7,3,157,11,3,0,1,31,41,0,3,403,7,1,21,220,331,0,2,0,43,2,9,14,1,17,0,31,0,29,67,123,139,13,1932,,
2004-03-31,3,191,1,0,60,5,5,153,17,0,0,1,41,59,0,1,488,9,2,27,246,332,0,3,0,36,2,10,12,0,9,2,38,0,16,74,100,189,11,2143,,
