,ARSON,ASSAULT,BAD CHECKS,BRIBERY,BURGLARY,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG-NARCOTIC,DRUNKENNESS,EMBEZZLEMENT,EXTORTION,FAMILY OFFENSES,FORGERY-COUNTERFEITING,FRAUD,GAMBLING,KIDNAPPING,LARCENY-THEFT,LIQUOR LAWS,LOITERING,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PORNOGRAPHY-OBSCENE MAT,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,RUNAWAY,SECONDARY CODES,"SEX OFFENSES, FORCIBLE","SEX OFFENSES, NON FORCIBLE",STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,TREA,TRESPASS,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS,ALL,averageListingPrice,alp_allsf
2005-08-31,20,877,9,2,595,56,23,721,44,11,4,6,167,214,1,27,2406,20,36,275,1274,1494,0,125,0,360,15,64,44,2,43,6,396,0,96,616,1412,565,115,12141,,
2005-09-30,17,1040,10,7,531,69,14,686,54,15,5,4,172,216,4,22,2197,21,13,312,1136,1408,0,114,0,331,32,82,56,1,36,6,376,0,80,559,1430,521,112,11689,,
2005-10-31,18,1083,6,5,526,43,15,800,67,10,3,4,174,182,0,22,2169,24,9,352,1250,1586,1,87,0,340,38,106,50,0,49,4,418,0,98,655,1774,607,146,12721,,
2005-11-30,19,948,11,1,511,62,14,704,59,19,4,9,174,192,2,23,1996,20,10,389,1081,1412,0,68,0,310,31,71,61,0,32,6,355,0,68,581,1723,512,116,11594,,
2005-12-31,17,895,11,4,559,33,20,606,42,27,0,5,189,245,1,19,2083,25,15,314,1022,1302,0,62,0,277,20,89,37,3,51,6,432,0,90,558,1321,513,87,10980,,
2006-01-31,24,995,11,3,527,44,34,774,61,26,5,13,218,234,1,26,2351,22,22,341,1180,1738,0,58,108,349,19,98,65,3,55,6,405,0,104,601,609,585,118,11833,,
2006-02-28,13,961,8,2,515,41,25,763,51,22,3,11,194,245,1,30,2077,11,11,264,1062,1510,0,73,72,317,28,100,54,4,46,7,347,0,79,602,572,543,108,10772,,
2006-03-31,16,1105,9,0,576,57,23,768,65,16,2,6,210,234,4,18,2335,15,7,344,1140,1559,0,93,77,337,18,126,36,3,64,7,418,0,89,621,565,600,113,11676,,
2006-04-30,19,1068,9,2,616,52,15,681,63,15,7,6,161,222,2,31,2397,20,4,351,1065,1464,0,103,90,362,28,111,50,1,67,6,415,0,68,741,572,565,114,11563,,
2006-05-31,27,1121,5,3,621,28,18,687,53,19,4,7,194,218,3,16,2344,9,5,351,1141,1441,0,93,93,358,17,121,47,5,53,10,425,0,88,678,547,499,108,11457,,
2006-06-30,14,1093,7,0,600,27,25,699,65,20,5,4,205,229,6,27,2272,37,8,394,1117,1497,1,81,77,432,45,138,55,3,49,12,393,0,109,602,651,542,116,11657,,
2006-07-31,24,1112,9,1,656,41,17,746,59,14,5,9,197,228,3,32,2209,30,17,286,1141,1512,1,102,83,372,30,129,60,3,37,7,441,0,94,660,673,537,116,11693,,
2006-08-31,24,1099,6,5,658,49,33,988,63,19,3,2,208,234,2,31,2408,22,13,308,1089,1706,2,184,116,372,34,136,48,3,47,2,371,0,107,687,687,629,123,12518,,
2006-09-30,27,1095,6,6,562,54,14,734,62,15,6,13,179,203,1,25,2296,19,0,366,1162,1457,0,125,82,341,50,104,49,2,44,9,354,0,83,672,570,527,106,11420,,
2006-10-31,27,1052,3,5,508,48,21,797,57,15,5,3,166,199,3,27,2386,25,3,420,1132,1635,1,127,92,313,36,141,49,0,48,9,411,0,103,664,628,523,99,11781,,
2006-11-30,11,870,3,3,585,48,20,752,51,26,1,8,176,156,1,28,2110,16,3,425,1035,1439,1,151,91,316,43,96,46,2,33,5,384,0,90,560,604,515,87,10791,,
2006-12-31,14,878,11,6,580,32,21,680,53,22,3,7,198,197,1,27,2167,22,3,403,1104,1348,0,100,105,262,34,75,40,0,32,6,411,0,88,600,613,433,116,10692,,
2007-01-31,23,1007,11,6,501,44,16,964,48,26,2,5,249,193,1,27,1979,35,6,317,1107,1780,0,115,96,307,24,128,64,7,46,13,423,0,111,648,523,646,103,11601,,
2007-02-28,12,946,7,6,382,51,24,1039,48,27,3,13,192,205,6,26,1643,29,9,321,958,1622,1,162,67,278,22,121,46,2,33,10,398,0,87,531,466,616,104,10513,,
2007-03-31,17,1067,4,3,426,42,27,913,67,15,2,9,260,182,6,29,2065,34,24,408,1122,1831,1,146,75,293,21,160,57,1,46,13,427,0,132,682,511,687,101,11906,,
2007-04-30,20,1078,0,4,476,43,23,858,51,16,3,2,236,203,2,18,2018,40,7,319,1046,1517,0,160,72,313,25,124,54,0,48,7,371,0,105,612,408,603,113,10995,,
2007-05-31,29,1017,8,5,426,50,19,815,70,15,7,6,209,196,0,33,2125,38,40,398,1145,1693,0,142,94,302,25,97,52,4,44,7,425,0,133,643,376,563,127,11378,,
2007-06-30,21,1024,7,6,448,63,13,746,53,27,4,6,232,182,6,36,2196,28,68,303,1095,1477,0,134,78,337,20,107,46,2,54,8,376,0,102,644,488,513,100,11050,,
2007-07-31,29,1057,8,5,509,46,15,748,53,22,4,9,192,175,3,29,2536,28,79,313,1173,1499,0,160,73,393,35,100,53,4,37,8,384,0,93,738,633,503,92,11838,,
2007-08-31,16,1032,4,3,474,46,25,750,46,28,5,7,197,201,2,20,2463,28,45,333,1123,1565,0,145,101,373,20,96,47,3,32,6,433,0,91,604,707,601,111,11783,,
2007-09-30,27,1140,9,5,385,64,37,862,49,23,5,2,201,195,3,33,2391,33,63,339,976,1714,2,207,84,329,17,145,50,2,54,10,424,0,95,639,692,536,127,11969,,
