weekEndingDate,BAYVIEW,CENTRAL,MISSION,NORTHERN,SOUTHERN,TENDERLOIN,ALL
2009-10-31,656110.908292,1200595.83026,677988.649532,865439.478495,923456.386905,707012.113095,838433.89443
2010-01-31,629037.015645,1059008.17428,711722.466236,787860.340602,972041.579684,630553.387179,798370.493938
2010-04-30,636673.590278,1132323.48187,685475.872619,799470.862366,955193.041667,687266.496429,816067.224205
2010-07-31,593606.582298,1084473.69419,728146.638605,781909.800488,961974.825,665500.520068,802602.010108
2010-10-31,589950.394095,1081703.54396,690913.333333,768159.916414,1011237.60256,616050.635897,793002.571043
2011-01-31,530880.776548,1215755.49341,688179.443956,792105.638276,970885.410256,574711.948718,795419.785194
2011-04-30,572597.789736,1111747.60722,750185.147131,772493.602395,989267.294872,632521.032051,804802.0789
2011-07-31,588224.168787,1173060.81622,625165.123474,783391.02509,1068821.80769,654967.615385,815605.092774
2011-10-31,618674.753266,1185982.41148,630403.806777,804556.409873,1002924.21795,643616.653846,814359.708864
2012-01-31,610733.032934,1283718.93223,621668.229396,808402.194078,1122130.76923,766690.179487,868890.556227
2012-04-30,633992.652362,1310529.56209,662464.421795,781797.961752,1147765.0,674487.0,868506.099666
2012-07-31,646969.429271,1378987.79431,725010.206685,919856.956868,1263745.24615,690273.230769,937473.810677
2012-10-31,578965.478632,1236134.67058,657205.520085,858008.470699,1250089.96154,739046.307692,886575.068204
2013-01-31,666853.102606,1151714.34692,711329.387546,1083981.9058,1406368.02564,734926.076923,959195.474239
2013-04-30,594411.271368,1226317.04309,716056.294872,1047420.18702,1400898.38462,808732.5,965639.280162
2013-07-31,615925.30754,1186679.01666,867155.312576,1000297.48028,1443339.39744,664486.153846,962980.444724
2013-10-31,742139.107265,1425007.85386,954376.046947,1109630.99909,1619444.77949,825113.653846,1112618.74008
2014-01-31,850336.734033,1397887.17964,998513.205862,1048031.74395,1434726.51282,885026.083333,1102420.24327
2014-04-30,847320.13327,1410226.91515,1020161.02229,1009633.08753,1550705.49487,884871.153846,1120486.30116
2014-07-31,864889.441241,1713187.20932,1096127.70263,1220564.88393,1421490.97821,762017.576923,1179712.96538
2014-10-31,957635.567602,1659765.4644,1070316.4116,1126405.78312,1474315.35256,822592.153846,1185171.78886
2015-01-31,1084585.51272,1669233.96685,976151.509663,1383525.28014,1638738.0369,953294.090909,1284254.73286
2015-04-30,1077897.38216,1511380.61582,1236740.59085,1253541.32985,1666412.96944,869395.916667,1269228.13413
2015-07-31,1081506.16045,1718950.20532,1639256.65733,1176823.34778,1890228.46154,934482.192308,1406874.50412
