weekEndingDate,BAYVIEW,CENTRAL,MISSION,NORTHERN,SOUTHERN,TENDERLOIN
2009-07-31,617098.64881,1131406.99902,705870.231092,837589.288931,951498.5,796343.125
2009-08-31,651142.736688,1129829.2268,678827.080952,880738.918892,905494.6,751585.2
2009-09-30,676575.099827,1217970.56364,674088.002941,859770.157641,905144.729167,707395.333333
2009-10-31,644707.726667,1257462.64702,680270.735385,854675.494781,956067.5,662132.45
2009-11-30,627727.684295,1096171.69298,687973.630952,813402.546235,959842.775641,611794.55
2009-12-31,628819.1181,1075211.63701,725312.9125,792217.019866,976696.041667,574889.458333
2010-01-31,630258.798763,1016314.58914,719849.177451,763941.232686,978077.053333,690091.6
2010-02-28,646615.358631,1144249.95373,689961.458333,767491.285669,976513.541667,678584.875
2010-03-31,610276.447917,1143432.73117,688148.97619,805003.075735,1000331.20833,702736.185714
2010-04-30,653128.964286,1109287.76071,678317.183333,825918.225694,888734.375,680478.428571
2010-05-31,614867.597222,1076212.51238,687993.116667,766027.670556,975064.733333,679741.83619
2010-06-30,608102.792857,1110617.88294,748523.443452,781456.925321,930585.275,661741.191667
2010-07-31,560748.598926,1071819.525,751998.716667,798154.230556,973996.556667,654266.666667
2010-08-31,587950.053977,1007316.83333,714805.1875,753189.488636,1042100.91667,651315.9
2010-09-30,647062.008974,1068664.81548,706893.583333,775680.994444,1027338.0,608840.75
2010-10-31,545861.374286,1151643.89524,659015.65,774119.396212,973666.633333,593606.333333
2010-11-30,542159.870536,1219111.875,679298.291667,788135.723611,948718.333333,562682.291667
2010-12-31,560205.37987,1241428.75833,692760.892857,800379.123106,987100.458333,568692.583333
2011-01-31,498397.818701,1192531.77619,691619.206667,788662.782143,975647.033333,589151.166667
2011-02-28,574843.853355,1178029.09488,722972.080357,741007.648383,988846.041667,615327.354167
2011-03-31,591909.125534,1089293.67857,766458.888889,792710.422569,974109.916667,675390.416667
2011-04-30,555351.870202,1076685.56,758936.607143,781508.909464,1001730.2,611980.466667
2011-05-31,563017.956349,1137940.81548,641076.885417,783157.444444,1090938.66667,651620.5
2011-06-30,599400.940152,1143510.90476,628022.102183,788964.42289,1090119.04167,686293.75
2011-07-31,599447.721645,1224796.74597,610150.130952,779119.171368,1034090.53333,632584.4
2011-08-31,560814.207837,1127522.95219,624234.559524,828294.926768,1012303.04167,615208.25
2011-09-30,644483.108333,1198866.49384,629105.327778,775256.45542,974137.166667,621138.875
2011-10-31,644316.505556,1222442.71302,636377.987778,809005.559921,1018450.8,684325.6
2011-11-30,552232.185606,1289945.50833,656929.943452,845271.7875,1120632.0,689536.125
2011-12-31,623818.691429,1288264.46,613303.775,801583.957937,1169808.1,728683.966667
2012-01-31,652876.807143,1271810.44643,596862.083333,780055.395833,1064032.875,891352.0
2012-02-29,696397.447917,1269385.86429,606333.458333,768497.396825,1171132.125,730643.5
2012-03-31,649438.185714,1390424.93,737608.093333,764405.266667,1136361.6,661502.8
2012-04-30,552280.940115,1251804.05,624665.795833,816839.395536,1138652.125,634560.75
2012-05-31,633364.594643,1307278.65893,747970.196429,932357.541667,1197151.3,738757.625
2012-06-30,664258.137143,1427223.4873,725493.418333,951856.154206,1257914.86667,611720.9
2012-07-31,638963.379058,1390402.31346,701446.202381,867357.375397,1337627.16667,739979.25
2012-08-31,591770.604167,1262865.31629,695927.273611,853875.949405,1300405.08333,746816.75
2012-09-30,564136.942063,1309668.56667,647078.4,845349.046111,1192694.1,733620.2
2012-10-31,584696.02381,1117486.65476,631142.666667,877965.272727,1271519.66667,738058.5
2012-11-30,696150.990476,1217606.33929,751774.25,950560.326389,1353086.58333,743786.5
2012-12-31,680340.147727,1221373.29556,721293.590476,1079650.57374,1388339.53333,720235.8
2013-01-31,620696.408333,998748.66875,658429.271429,1222817.6503,1482185.08333,744428.5
2013-02-28,635085.583333,1154111.7875,713934.125,1113326.98214,1422814.29167,807928.5
2013-03-31,618867.461905,1268608.33203,719399.283333,1073443.98333,1422156.18667,905318.9
2013-04-30,523166.72123,1245658.1875,713999.729167,948983.64652,1352410.225,688803.5
2013-05-31,554654.779762,1278614.9743,859344.5625,1004957.30486,1435862.33333,667852.0
2013-06-30,625141.082937,1061054.42,807412.805556,918161.976429,1399632.93333,610220.0
2013-07-31,665676.116071,1251773.80486,949644.196429,1098307.03551,1505449.54167,728953.0
2013-08-31,713626.270476,1404963.8442,916704.528571,954409.295758,1726857.94,748172.3
2013-09-30,751618.378571,1395939.69375,924293.840476,1241147.3608,1610801.74167,847376.125
2013-10-31,768300.881944,1479131.02604,1031547.65139,1172141.76656,1493821.36667,899027.875
2013-11-30,831747.526818,1521257.45312,998182.210845,1146413.98751,1391685.38667,870595.9
2013-12-31,885024.299519,1400870.44063,914919.476923,1033931.11402,1522378.9,883500.0
2014-01-31,838885.677564,1240691.0768,1082520.67857,939154.569444,1400875.53333,904208.375
2014-02-28,872564.435606,1434135.02976,953367.597619,960273.409351,1374535.24167,763512.5
2014-03-31,836315.768846,1281211.12384,1094747.65714,1019644.71869,1599581.62667,969221.4
2014-04-30,835831.286464,1547588.53968,993721.153409,1046478.22677,1665780.58333,900792.0
2014-05-31,928093.6,1678139.01149,1036378.54773,1266562.84943,1497455.4,830070.4
2014-06-30,849193.700699,1647977.12055,1160101.98453,1275493.573,1275707.7,723339.5
2014-07-31,801579.983333,1822207.54539,1106839.86436,1108138.73798,1472318.72917,715629.625
2014-08-31,936136.764324,1728815.60635,1001134.49556,1073959.17045,1525077.0,808878.6
