weekEndingDate,BAYVIEW,CENTRAL,MISSION,NORTHERN,SOUTHERN,TENDERLOIN,ALL
2010-01-31,643075.330351,1132423.9959,694230.857575,828086.56025,946849.257502,670198.652469,819144.109008
2010-07-31,613483.662904,1106558.21158,708452.438919,790014.905971,958844.771154,675546.355311,808816.724307
2011-01-31,560415.585322,1148729.51868,689546.388645,780132.777345,991061.50641,595381.292308,794211.178118
2011-07-31,580410.979261,1142404.21172,687675.135302,777942.313742,1029044.55128,643744.323718,810203.585837
2012-01-31,614703.8931,1234850.67186,626036.018086,806479.301976,1062527.49359,705153.416667,841625.132546
2012-07-31,640481.040816,1344758.6782,693737.31424,850827.45931,1205755.12308,682380.115385,902989.955171
2013-01-31,622909.290619,1193924.50875,684267.453816,970995.188251,1328228.99359,736986.192308,922885.271222
2013-07-31,605168.289454,1206498.02988,791605.803724,1023858.83365,1422118.89103,736609.326923,964309.862443
2014-01-31,796237.920649,1411447.51675,976444.626405,1078831.37152,1527085.64615,853871.62,1107319.78358
2014-07-31,856104.787255,1561707.06224,1058144.36246,1115098.98573,1486098.23654,823444.365385,1150099.63327
2015-01-31,1023461.46507,1664675.05826,1021490.16615,1259727.00379,1559571.55926,882497.208333,1235237.07681
2015-07-31,1079773.94687,1619316.80236,1446048.94542,1213647.97917,1782797.02533,903240.78,1340804.24653
